Date,Topic2,Topic6,Topic8,Topic13,Topic14,Topic22,Topic23,Topic29,Topic36,Topic58,Topic66,Topic67,Topic69,Topic9,MA_PRICE,Price,Topic54,Topic85
10/6/18,8,5,35,66,4,6,3,21,60,14,29,4,4,7,7626.43374,7564.4083,3,24
11/6/18,3,5,40,81,6,10,6,25,69,14,31,3,3,13,7458.66698,6776.8883,8,39
12/6/18,4,7,57,122,11,4,3,77,85,40,42,10,11,8,7302.67998,6875.6783,5,65
13/6/18,2,5,12,82,4,7,4,80,78,29,34,6,12,10,7074.44198,6535.0817,4,43
14/6/18,8,1,11,54,6,4,5,35,52,9,24,4,8,7,6813.55132,6315.7,3,26
15/6/18,5,1,2,54,7,8,14,39,48,33,23,5,12,7,6630.07232,6647.0133,5,28
16/6/18,0,3,5,33,1,1,1,16,39,6,14,14,1,2,6561.51226,6434.088,2,13
17/6/18,7,4,32,55,5,6,3,43,64,19,34,14,8,9,6488.26194,6509.4267,2,33
18/6/18,4,2,7,66,7,5,2,32,36,9,22,2,4,4,6474.12794,6464.4117,2,18
19/6/18,6,6,2,68,7,7,5,45,63,22,25,8,8,3,6553.68554,6713.488,5,32
20/6/18,2,6,16,49,2,3,7,25,41,11,16,10,3,4,6571.68288,6737,7,17
21/6/18,4,4,7,44,4,12,12,75,72,33,43,5,16,22,6627.80894,6714.7183,7,36
22/6/18,4,3,2,31,0,1,5,24,38,8,22,5,4,5,6672.70394,6733.9017,8,17
23/6/18,4,5,22,32,4,1,6,10,32,11,17,4,3,4,6646.33626,6332.5733,12,24
24/6/18,1,1,35,55,6,9,2,40,51,23,33,1,6,4,6531.95982,6141.6058,12,20
25/6/18,1,5,25,65,9,7,6,21,62,17,24,7,2,6,6391.96148,6037.0083,4,19
26/6/18,2,5,1,24,7,0,1,21,29,12,16,3,2,5,6291.30732,6211.4475,3,13
27/6/18,3,1,27,32,7,2,1,22,29,14,23,1,6,0,6188.24598,6218.595,6,21
28/6/18,6,3,42,37,10,3,0,18,30,16,21,5,4,3,6142.79032,6105.295,3,16
29/6/18,11,1,42,59,1,2,5,18,47,24,25,2,5,7,6136.0484,6107.8962,3,20
30/6/18,3,6,5,30,5,3,2,27,35,13,16,3,9,6,6110.38724,5908.7025,2,19
1/7/18,2,6,6,28,1,2,2,10,31,11,14,2,5,3,6144.3759,6381.3908,1,19
2/7/18,4,6,1,34,0,3,7,26,23,5,17,2,4,3,6175.60774,6374.7542,6,14
3/7/18,5,0,6,24,0,6,5,24,34,16,10,4,8,4,6247.76258,6466.0692,8,20
4/7/18,4,6,3,24,8,3,5,25,31,12,21,3,4,15,6348.9205,6613.6858,1,16
5/7/18,0,6,4,24,2,1,4,21,21,10,14,4,3,3,6485.83784,6593.2892,3,8
6/7/18,6,10,6,29,5,6,4,23,31,12,20,7,5,6,6530.23502,6603.3767,3,18
7/7/18,1,1,9,28,5,1,3,28,34,10,15,0,2,4,6569.18342,6569.4962,3,14
8/7/18,5,5,20,104,2,9,4,50,99,41,37,7,13,10,6594.82592,6594.2817,3,40
9/7/18,3,6,11,65,10,1,10,39,66,25,28,4,6,10,6622.8006,6753.5592,7,21
10/7/18,0,7,8,27,3,1,6,23,26,14,18,0,5,2,6648.91726,6723.8725,4,14
11/7/18,5,12,2,33,2,4,1,18,23,6,19,7,4,5,6630.40026,6510.7917,8,15
12/7/18,2,5,3,36,4,2,2,33,38,15,11,0,4,5,6591.97368,6377.3633,3,19
13/7/18,1,4,0,27,6,2,4,33,52,16,11,0,3,3,6519.83634,6233.595,4,27
14/7/18,3,1,4,18,3,2,4,23,26,8,14,5,1,2,6417.996,6244.3575,0,16
15/7/18,5,1,2,15,1,2,4,6,18,6,6,0,4,0,6321.4215,6241,1,12
16/7/18,3,2,1,35,6,5,9,17,42,18,9,4,2,1,6282.6395,6316.8817,7,14
17/7/18,2,1,3,45,7,1,2,26,29,16,24,5,8,6,6310.045,6514.3908,2,14
18/7/18,2,3,6,62,3,3,7,30,48,10,26,2,3,4,6437.30816,6869.9108,1,24
19/7/18,3,3,9,32,4,3,0,27,33,8,12,2,4,4,6668.169,7398.6617,2,10
20/7/18,7,8,68,84,3,2,3,35,58,22,39,8,6,7,6899.24934,7396.4017,8,42
21/7/18,6,3,2,38,3,3,2,16,23,13,8,2,6,6,7121.482,7428.045,3,10
22/7/18,2,7,6,78,3,4,1,32,71,18,24,2,9,11,7289.10292,7352.4954,6,32
23/7/18,3,3,9,23,0,1,1,14,13,11,16,3,1,3,7405.3786,7451.2892,3,16
24/7/18,17,6,2,53,4,5,2,52,77,22,39,3,8,11,7463.6231,7689.8842,4,36
25/7/18,6,7,2,15,1,5,2,17,18,3,10,4,5,2,7606.92876,8112.93,2,9
26/7/18,3,3,2,66,7,6,8,37,55,13,19,5,5,5,7771.55276,8251.165,7,17
27/7/18,3,5,2,33,2,7,0,9,25,8,18,2,2,3,7938.51852,8187.3242,3,20
28/7/18,2,3,71,59,3,3,15,36,57,13,26,1,5,3,8053.31218,8025.2575,6,33
29/7/18,2,1,5,20,1,2,1,20,21,6,21,1,4,1,8151.78568,8182.2517,3,11
30/7/18,1,3,9,23,0,3,6,25,33,9,18,1,3,4,8170.46802,8206.3417,4,14
31/7/18,3,2,4,49,3,7,3,38,49,21,21,4,5,4,8148.86468,8143.1483,16,16
1/8/18,2,8,5,37,4,2,2,27,33,9,12,4,8,2,8094.76,7916.8008,2,10
2/8/18,2,0,1,32,2,4,2,13,34,10,10,4,0,4,8003.88234,7570.8692,3,11
3/8/18,5,3,3,43,4,3,4,17,40,16,25,1,1,7,7886.06184,7593.1492,6,14
4/8/18,5,3,3,36,4,4,3,13,27,11,17,3,1,6,7723.69334,7394.4992,2,15
5/8/18,0,0,2,11,2,3,2,12,17,10,15,1,2,3,7544.61752,7247.7692,4,8
6/8/18,3,2,14,27,3,2,1,20,21,9,14,3,4,2,7361.00102,6998.7183,3,7
7/8/18,3,4,72,74,8,6,4,21,52,18,30,2,4,2,7244.44302,6988.0792,1,36
8/8/18,2,3,3,61,6,5,3,27,38,11,19,7,1,6,7124.51584,6993.5133,2,23
9/8/18,7,1,0,28,2,3,4,22,31,18,17,2,2,4,6935.68938,6450.3669,2,12
10/8/18,7,5,9,114,8,11,7,85,103,54,56,6,16,14,6765.49004,6396.7725,12,37
11/8/18,6,5,4,72,7,6,9,41,48,24,28,3,1,14,6645.04532,6396.4947,8,18
12/8/18,2,3,6,80,4,1,4,40,55,25,26,5,3,9,6486.56014,6195.6533,3,36
13/8/18,10,15,8,96,11,7,11,85,86,45,37,5,14,21,6350.08382,6311.1317,14,36
14/8/18,6,6,3,60,6,5,9,27,50,15,20,1,5,7,6329.42444,6347.07,1,24
15/8/18,7,6,40,86,7,9,5,34,60,15,31,7,5,10,6260.25844,6050.9425,5,36
16/8/18,5,7,26,78,9,5,7,34,71,22,43,6,3,8,6253.49488,6362.6769,10,38
17/8/18,4,1,18,69,4,9,10,32,57,21,28,4,11,5,6282.89006,6342.6292,7,28
18/8/18,6,6,4,48,4,7,16,21,34,19,23,5,3,11,6316.04372,6476.9,3,25
19/8/18,4,3,12,45,5,2,2,20,38,15,14,2,7,2,6333.97388,6436.7208,2,24
20/8/18,11,6,74,54,8,3,6,36,63,17,32,4,4,12,6404.59804,6404.0633,9,41
21/8/18,1,3,4,41,4,5,0,25,38,19,22,5,2,3,6418.9745,6434.5592,1,24
22/8/18,4,6,27,54,5,4,4,17,39,17,23,3,6,10,6430.6979,6401.2462,5,25
23/8/18,7,8,72,62,7,6,4,51,53,19,44,7,7,9,6450.36374,6575.2292,6,40
24/8/18,7,6,5,37,1,2,6,29,41,13,16,3,6,4,6449.99592,6434.8817,8,18
25/8/18,6,4,15,67,7,3,3,69,47,38,34,10,8,14,6477.9124,6543.6457,4,32
26/8/18,4,7,20,47,0,6,10,36,51,30,27,3,6,5,6534.8864,6719.4292,2,30
27/8/18,1,12,10,71,4,4,4,43,64,19,25,5,7,7,6589.292,6673.2742,8,11
28/8/18,6,10,6,72,7,5,10,44,58,15,23,6,7,13,6618.0994,6719.2662,9,23
29/8/18,5,12,5,36,5,3,7,28,49,21,17,4,7,2,6731.13106,7000.04,8,26
30/8/18,2,7,21,74,11,3,3,48,67,21,34,2,5,18,6833.2572,7054.2764,3,33
31/8/18,9,17,43,92,14,13,11,58,88,34,51,9,13,16,6875.90386,6932.6625,6,29
1/9/18,5,4,28,72,9,5,6,33,65,22,16,4,6,4,6937.63826,6981.9462,4,31
2/9/18,14,2,72,56,4,11,8,28,59,15,23,2,5,6,7013.97436,7100.9467,12,31
3/9/18,12,14,8,211,11,12,10,79,143,61,61,10,14,23,7063.55344,7247.9354,15,72
4/9/18,4,10,11,77,4,6,5,43,67,21,23,7,4,14,7104.888,7260.9492,2,23
5/9/18,6,7,36,105,7,12,12,64,84,31,39,15,12,18,7183.726,7326.8525,7,46
6/9/18,9,4,50,102,6,10,5,33,76,52,35,9,6,13,7209.9506,7113.0692,5,39
7/9/18,2,6,41,86,6,6,5,48,54,44,45,5,7,9,7076.4156,6433.2717,11,47
8/9/18,10,6,25,49,6,5,10,39,64,32,43,5,11,28,6915.78936,6444.8042,8,30
9/9/18,12,9,4,157,17,13,9,65,114,39,45,10,13,25,6736.82102,6366.1075,10,46
10/9/18,4,3,2,69,4,5,7,49,50,15,25,5,2,8,6528.73568,6286.4258,1,26
11/9/18,6,10,45,66,11,14,13,40,93,46,34,14,4,14,6365.69738,6297.8777,6,50
12/9/18,6,6,2,105,12,6,7,73,117,41,36,13,14,23,6338.3072,6296.3208,8,50
13/9/18,4,4,2,37,3,7,3,24,33,14,20,2,5,5,6303.97386,6273.1375,7,21
14/9/18,4,6,78,49,2,3,8,20,50,11,37,9,6,10,6320.7882,6450.1792,6,34
15/9/18,6,6,11,92,13,6,7,53,81,20,52,4,6,13,6363.31554,6499.0625,10,36
16/9/18,6,7,5,49,6,5,2,47,59,25,36,2,5,8,6407.471,6518.655,6,19
17/9/18,3,3,5,68,5,7,4,27,49,13,28,5,8,17,6444.33568,6480.6442,6,29
18/9/18,2,14,31,112,8,12,5,81,105,46,39,7,11,10,6469.82834,6400.6008,9,64
19/9/18,5,10,2,73,2,11,2,64,81,32,20,5,5,14,6439.11884,6296.6317,9,23
20/9/18,7,3,1,48,10,5,4,20,39,10,17,3,6,1,6406.47168,6335.8267,4,23
21/9/18,6,11,3,70,9,15,3,30,75,25,22,8,9,19,6386.45322,6418.5627,6,28
22/9/18,3,3,1,36,1,1,4,21,43,17,20,4,3,5,6424.32254,6669.9908,0,20
23/9/18,2,2,1,24,3,3,1,16,25,6,16,2,1,4,6486.06488,6709.3125,1,6
24/9/18,4,2,2,23,2,5,0,10,28,7,6,1,7,2,6568.82754,6710.445,1,8
25/9/18,6,9,2,59,5,8,4,40,64,25,34,9,14,9,6629.52304,6639.3042,6,39
26/9/18,5,7,8,106,5,5,4,58,78,29,59,11,9,22,6628.30234,6412.4592,16,31
27/9/18,3,8,2,69,6,18,3,44,50,27,29,7,5,16,6588.03052,6468.6317,5,21
28/9/18,0,7,11,46,4,6,2,17,36,9,20,2,6,7,6553.26336,6535.4767,5,11
29/9/18,1,8,2,37,8,3,3,22,42,18,16,2,3,12,6546.64286,6677.3425,5,20
30/9/18,3,4,4,69,19,12,5,64,66,26,39,6,14,5,6528.87686,6550.4742,5,40
1/10/18,4,1,0,22,0,2,0,14,23,17,12,1,4,0,6565.01202,6593.135,2,9
2/10/18,2,7,2,39,7,7,5,28,27,23,20,4,12,6,6589.47934,6590.9683,1,19
3/10/18,3,8,5,46,4,8,2,31,38,18,25,4,5,6,6594.91234,6562.6417,7,18
4/10/18,12,2,4,39,7,2,2,17,25,11,12,2,5,8,6553.52434,6470.4025,3,6
5/10/18,6,6,3,46,1,0,4,35,54,21,26,3,7,7,6556.15516,6563.6283,4,19
6/10/18,3,5,8,29,1,3,2,26,32,6,15,0,3,4,6551.238,6568.5492,6,13
7/10/18,0,5,0,37,2,4,2,25,37,11,27,5,3,8,6549.34168,6581.4867,5,18
8/10/18,5,7,27,98,11,11,5,38,87,31,51,8,9,15,6548.52084,6558.5375,10,34
9/10/18,5,1,1,30,0,3,1,10,18,13,10,1,0,3,6578.15388,6618.5677,5,12
10/10/18,9,8,6,65,8,2,3,18,47,19,15,2,5,8,6589.77056,6621.7117,5,17
11/10/18,4,8,1,50,11,5,7,39,70,14,26,7,4,3,6588.66256,6563.0092,3,27
12/10/18,5,6,1,20,4,1,7,20,35,10,5,5,4,3,6522.09238,6248.6358,4,12
13/10/18,5,3,1,22,3,6,3,23,26,4,19,0,2,4,6462.49104,6260.5308,3,13
14/10/18,4,0,0,30,1,4,2,12,29,10,10,3,2,3,6390.90666,6260.6458,0,16
15/10/18,6,5,1,44,0,4,5,24,48,13,21,5,6,6,6326.44416,6299.3992,8,16
16/10/18,4,2,10,33,7,9,5,26,35,11,17,3,0,4,6304.35666,6452.5717,1,17
17/10/18,2,6,1,49,3,5,5,28,40,21,25,5,4,4,6373.95316,6596.6183,8,25
18/10/18,2,1,0,39,3,2,2,23,38,14,15,4,8,5,6441.10224,6596.2762,4,11
19/10/18,4,9,2,52,4,1,5,35,41,21,27,1,6,1,6502.58124,6568.0408,8,17
20/10/18,2,3,1,28,2,2,1,19,27,6,14,5,2,6,6540.19024,6487.4442,1,8
21/10/18,3,1,1,52,2,2,1,17,29,15,17,2,0,5,6547.44106,6488.8258,3,10
22/10/18,4,2,1,31,5,2,3,16,34,10,8,6,4,2,6534.43774,6531.6017,1,13
23/10/18,2,0,1,20,6,4,6,17,53,20,19,0,7,3,6514.87966,6498.4858,6,22
24/10/18,1,3,1,41,3,1,7,29,42,10,18,1,5,4,6497.5567,6481.426,7,11
25/10/18,3,4,5,48,4,5,3,49,43,15,21,2,4,7,6501.72986,6508.31,6,23
26/10/18,8,6,7,52,10,5,6,48,56,19,22,4,7,13,6499.5812,6478.0825,6,25
27/10/18,3,10,4,37,2,5,1,24,25,12,11,5,2,6,6488.01152,6473.7533,5,12
28/10/18,1,5,1,50,4,6,12,41,53,14,16,1,3,8,6481.49786,6465.9175,7,22
29/10/18,6,4,3,56,8,7,3,31,48,14,18,5,5,10,6474.857,6448.2217,5,22
30/10/18,5,7,6,38,3,6,4,13,43,4,18,1,8,6,6449.72866,6382.6683,3,13
31/10/18,2,3,2,19,3,5,3,28,31,12,15,4,4,8,6416.00274,6309.4529,6,15
1/11/18,2,6,2,57,1,4,3,27,47,12,19,3,3,7,6383.30892,6310.2842,3,16
2/11/18,5,5,22,59,7,2,6,36,46,13,20,6,6,10,6358.58158,6342.2808,6,30
3/11/18,8,9,12,87,6,9,7,76,77,30,21,4,11,9,6346.47208,6387.6742,6,37
4/11/18,8,8,8,53,7,6,8,46,55,21,31,12,8,1,6342.69758,6363.7958,7,33
5/11/18,5,7,8,56,5,2,2,36,51,13,26,15,4,9,6359.18166,6391.8733,4,20
6/11/18,5,5,7,84,8,4,2,52,53,35,28,2,9,8,6384.51782,6436.965,4,31
7/11/18,6,9,4,63,1,1,3,35,54,22,34,0,4,4,6405.1325,6445.3542,3,23
8/11/18,5,5,12,66,1,6,2,37,57,19,21,2,9,5,6435.35566,6538.79,2,16
9/11/18,4,3,2,42,3,5,1,23,28,10,13,5,5,3,6459.84684,6486.2517,1,26
10/11/18,3,6,9,52,2,2,5,18,44,15,16,1,2,3,6463.72834,6411.2808,3,18
11/11/18,5,3,2,52,2,5,9,28,47,13,16,4,3,9,6456.142,6399.0333,9,11
12/11/18,2,10,5,61,10,6,3,46,41,18,27,2,4,8,6442.72482,6378.2683,7,36
13/11/18,5,5,5,52,8,10,5,27,47,16,12,1,4,8,6415.35416,6401.9367,9,16
14/11/18,11,6,11,75,6,8,2,37,45,15,30,4,10,7,6392.51648,6372.0633,7,36
15/11/18,5,2,3,79,9,7,7,38,59,10,31,2,2,9,6345.49132,6176.155,4,28
16/11/18,2,8,6,64,8,10,2,26,56,9,28,2,4,6,6188.72066,5615.18,4,31
17/11/18,4,6,16,43,6,12,3,24,39,16,26,3,0,7,6032.3055,5596.1925,11,31
18/11/18,2,5,5,48,3,7,2,30,46,12,27,3,1,11,5863.56682,5558.2433,5,21
19/11/18,3,14,9,93,11,9,7,59,78,45,28,15,11,12,5710.363,5606.0442,5,50
20/11/18,4,13,8,79,8,7,10,34,84,24,24,21,9,13,5535.9205,5303.9425,13,33
21/11/18,6,2,3,75,6,9,1,41,52,11,29,5,3,9,5347.2785,4671.97,1,31
22/11/18,8,7,3,76,7,6,5,52,69,27,36,4,10,11,5134.77616,4533.6808,10,43
23/11/18,1,1,1,19,1,2,2,7,9,5,6,0,1,4,4932.887,4548.7975,2,12
24/11/18,4,0,1,24,1,1,0,8,18,6,3,0,0,2,4673.54566,4309.3375,1,7
25/11/18,2,2,3,36,1,2,2,7,14,3,8,0,1,2,4471.52532,4293.8408,2,9
26/11/18,2,0,7,34,3,0,2,5,20,5,11,2,3,3,4301.83366,3823.5117,0,20
27/11/18,2,3,2,31,5,6,14,22,27,9,13,1,5,5,4179.20484,3920.5367,1,16
28/11/18,4,2,5,37,3,1,5,22,40,11,14,2,7,2,4019.779,3751.6683,4,12
29/11/18,1,1,1,33,2,1,6,19,31,15,21,2,3,3,3978.60226,4103.4538,5,13
30/11/18,6,2,3,27,2,4,7,13,25,7,8,1,1,4,3972.59076,4263.7833,2,11
1/12/18,4,2,3,18,1,2,0,20,33,3,8,2,2,5,4029.26276,4106.8717,0,9
2/12/18,2,2,1,24,2,4,5,11,41,6,16,7,3,6,4068.51092,4116.7775,5,16
3/12/18,4,8,3,23,1,3,3,13,24,3,8,3,7,2,4151.6866,4167.5467,4,7
4/12/18,1,4,0,16,3,3,0,7,16,13,12,1,6,3,4124.50068,3967.5242,3,7
5/12/18,6,5,4,56,3,5,13,39,39,16,18,2,5,6,4064.04268,3961.4933,8,19
6/12/18,5,5,5,46,2,2,3,37,22,10,18,3,6,8,4014.33818,3858.3492,4,10
7/12/18,1,5,19,45,3,2,3,15,35,3,18,4,0,2,3939.57134,3742.9433,2,20
8/12/18,0,1,1,30,2,7,1,26,29,4,14,4,3,1,3787.19066,3405.6433,10,13
9/12/18,5,3,0,30,2,2,1,19,30,9,15,2,3,6,3680.75382,3435.34,4,16
10/12/18,3,1,0,33,2,0,3,23,26,5,18,4,4,3,3594.21582,3528.8033,3,12
11/12/18,4,4,3,46,10,2,3,24,45,8,20,1,3,13,3527.33798,3523.96,2,17
12/12/18,2,11,11,41,2,10,4,16,36,8,18,5,4,4,3463.98732,3426.19,5,17
13/12/18,2,8,4,65,1,4,1,37,52,15,20,3,5,7,3475.26666,3462.04,2,20
14/12/18,6,4,7,56,6,5,14,26,44,21,34,1,5,9,3469.55116,3406.7625,3,34
15/12/18,2,2,2,25,2,3,2,13,24,5,9,3,4,7,3419.46534,3278.3742,3,9
16/12/18,1,2,4,26,2,2,7,16,30,8,24,4,2,3,3359.73318,3225.2992,1,18
17/12/18,3,8,7,64,11,7,4,63,90,21,30,15,5,10,3328.74284,3271.2383,7,41
18/12/18,6,6,2,95,4,15,3,35,78,30,39,4,16,18,3314.81584,3392.405,5,27
19/12/18,3,5,2,46,2,3,2,27,45,20,12,8,12,3,3346.95734,3567.47,3,27
20/12/18,5,1,1,44,3,1,7,21,34,12,13,1,0,8,3452.891,3808.0425,3,29
21/12/18,3,5,13,66,1,2,3,23,45,15,22,5,6,6,3604.40132,3982.8508,3,28
22/12/18,2,3,4,54,2,6,3,33,52,12,20,5,5,9,3753.2755,4015.6092,2,21
23/12/18,4,1,6,43,9,2,4,32,36,14,18,5,6,10,3856.98916,3910.9733,2,20
24/12/18,1,2,24,47,2,1,3,24,32,12,24,1,5,10,3948.99082,4027.4783,4,30
25/12/18,5,1,2,59,4,7,3,40,52,34,20,14,5,5,4023.10048,4178.5908,7,36
26/12/18,1,2,5,29,4,2,2,18,34,8,22,3,5,3,3989.30632,3813.88,0,9
27/12/18,9,4,8,116,10,14,17,61,74,29,42,8,11,11,3951.26032,3825.3792,10,44
28/12/18,7,8,2,114,5,8,8,84,117,35,51,4,14,20,3918.6335,3747.8392,7,33
29/12/18,4,2,5,33,5,4,3,36,44,15,9,5,4,6,3861.91884,3743.905,8,15
30/12/18,2,4,0,28,3,3,0,16,30,9,15,1,2,4,3808.65784,3912.2858,3,11
31/12/18,0,6,3,23,5,8,2,27,30,5,9,1,2,5,3812.46618,3832.9217,3,15
1/1/19,0,2,0,20,0,1,1,12,11,2,7,0,2,7,3805.6995,3791.5458,2,6
2/1/19,4,3,0,39,3,5,2,42,40,15,26,6,4,5,3806.586,3752.2717,4,23
3/1/19,1,1,2,24,2,2,3,22,24,5,14,1,1,3,3831.23266,3867.1383,1,21
4/1/19,1,1,11,25,2,4,1,17,33,9,11,1,6,5,3821.935,3865.7975,0,9
5/1/19,0,1,0,31,2,3,4,20,44,16,19,1,5,2,3819.876,3822.6267,0,15
6/1/19,1,2,0,31,1,1,4,9,29,6,13,1,0,5,3835.26434,3868.4875,2,9
7/1/19,6,2,7,45,6,4,3,36,59,14,19,0,20,6,3868.90134,3920.4567,8,36
8/1/19,4,5,1,39,3,2,1,26,24,6,5,2,2,1,3902.69234,4036.0933,1,14
9/1/19,0,1,0,10,1,0,1,4,10,1,6,2,1,1,3936.70384,4035.855,3,5
10/1/19,3,0,1,28,2,0,0,11,23,14,12,2,1,5,3979.00616,4034.1383,5,9
11/1/19,3,3,0,48,1,9,5,28,48,23,20,4,5,5,3967.82582,3812.5858,3,25
12/1/19,7,4,1,69,4,4,16,40,61,21,33,1,5,4,3915.08164,3656.7358,3,34
13/1/19,1,0,0,21,2,4,1,21,23,5,9,2,1,3,3837.13214,3646.3458,2,7
14/1/19,2,3,1,17,5,3,1,10,25,5,8,0,2,2,3749.92948,3599.8417,1,6
15/1/19,1,3,0,18,2,0,2,10,18,9,7,3,4,4,3663.92532,3604.1175,0,8
16/1/19,0,3,2,14,2,2,2,12,22,4,8,3,5,4,3632.76516,3656.785,8,8
17/1/19,3,1,0,19,4,3,1,8,13,5,6,1,2,2,3625.67216,3621.2708,1,4
18/1/19,4,5,3,55,5,1,4,13,48,16,24,1,4,6,3620.39584,3619.9642,3,20
19/1/19,4,3,8,39,2,1,4,29,39,11,18,3,1,4,3626.9065,3632.395,6,14
20/1/19,1,1,9,13,0,3,2,11,26,7,9,1,3,3,3644.18766,3690.5233,3,8
21/1/19,2,3,7,25,2,3,1,28,28,8,28,2,2,8,3636.85616,3620.1275,4,11
