Date,Topic2,Topic6,Topic8,Topic13,Topic14,Topic22,Topic23,Topic29,Topic36,Topic58,Topic66,Topic67,Topic69,Topic9,MA_PRICE,Price,Topic54,Topic85
22/11/17,0,4,1,42,6,8,5,27,34,18,19,2,6,6,7985.41514,8059.8,3,14
23/11/17,5,4,14,46,4,2,3,16,32,14,21,3,2,6,8081.64526,8268.035,6,13
24/11/17,3,5,32,44,3,2,4,25,47,21,16,3,5,4,8148.00718,8148.95,5,33
25/11/17,4,4,8,50,3,6,2,23,35,19,16,5,4,4,8196.67202,8250.9783,4,17
26/11/17,2,2,2,39,2,7,0,34,30,13,19,3,6,9,8287.03412,8707.4073,3,19
27/11/17,2,4,17,48,2,2,8,23,33,8,12,10,5,6,8531.90288,9284.1438,3,16
28/11/17,6,2,9,54,4,7,8,36,49,21,23,6,5,8,8821.9549,9718.2951,6,38
29/11/17,8,13,8,57,14,7,7,29,66,17,28,2,8,9,9182.66666,9952.5088,6,34
30/11/17,10,3,4,70,6,11,5,43,65,25,24,2,14,7,9508.33666,9879.3283,7,22
1/12/17,7,15,8,58,3,4,5,35,51,15,26,6,6,11,9796.3296,10147.372,2,30
2/12/17,24,1,208,76,5,3,8,29,58,10,38,4,8,6,10116.28324,10883.912,4,35
3/12/17,8,6,44,67,4,1,8,33,75,17,27,2,6,3,10386.89788,11071.3683,4,39
4/12/17,8,11,13,59,7,9,2,41,53,21,22,7,9,5,10662.92052,11332.622,3,23
5/12/17,4,8,54,75,9,8,7,36,70,21,29,11,10,3,11004.02086,11584.83,7,36
6/12/17,3,3,75,96,8,3,6,46,80,18,40,1,11,9,11350.23312,11878.4333,6,43
7/12/17,4,7,8,75,6,1,7,32,65,14,32,2,4,10,11881.64672,13540.98,7,32
8/12/17,5,4,8,56,8,6,4,28,35,12,16,5,5,5,12967.7674,16501.9717,10,21
9/12/17,15,6,78,85,16,10,15,65,84,31,47,4,13,18,13902.73034,16007.4367,5,47
10/12/17,5,12,68,82,8,11,4,63,83,22,46,5,7,8,14614.33118,15142.8342,8,50
11/12/17,6,2,44,63,7,7,6,42,57,9,27,3,5,12,15212.60552,14869.805,7,26
12/12/17,13,9,22,64,6,7,4,50,58,17,29,6,7,14,15856.83286,16762.1167,8,31
13/12/17,8,1,42,63,8,7,6,38,66,13,23,10,4,15,16011.71718,17276.3933,6,34
14/12/17,6,1,15,60,17,9,4,66,56,22,26,4,12,6,16171.90318,16808.3667,1,21
15/12/17,1,4,5,65,7,6,3,31,54,21,19,5,4,4,16479.11474,16678.892,7,29
16/12/17,4,1,4,32,9,4,6,14,44,8,13,3,3,5,17059.53374,17771.9,1,5
17/12/17,10,16,50,123,7,13,7,54,107,39,67,6,12,9,17606.84706,19498.6833,22,57
18/12/17,3,2,25,78,4,6,6,40,60,26,34,5,5,9,18009.5254,19289.785,8,42
19/12/17,9,4,18,100,3,10,9,42,84,13,31,6,9,14,18440.2234,18961.8567,10,37
20/12/17,25,10,23,194,12,13,10,95,128,56,69,13,10,13,18651.86734,17737.1117,11,78
21/12/17,19,10,64,179,13,14,7,79,139,46,75,11,18,16,18302.74168,16026.2717,6,44
22/12/17,4,4,62,155,14,2,6,74,126,57,62,5,13,19,17612.50702,16047.51,16,60
23/12/17,12,2,128,152,11,9,40,57,127,42,63,4,10,20,16792.73902,15190.945,8,74
24/12/17,5,10,179,164,9,13,21,68,133,50,73,10,19,20,16072.42002,15360.2617,14,54
25/12/17,4,2,6,62,4,3,2,17,33,17,18,4,4,2,15314.83268,13949.175,3,13
26/12/17,1,5,14,54,7,10,6,24,44,15,18,6,3,2,14933.384,14119.0283,4,17
27/12/17,5,1,36,54,5,7,6,25,67,11,33,12,7,5,14923.69166,15999.0483,5,25
28/12/17,7,3,126,107,7,11,6,45,103,33,45,17,20,8,15003.367,15589.3217,13,52
29/12/17,8,12,113,131,13,7,11,46,115,55,103,13,11,14,14807.431,14380.5817,11,93
30/12/17,6,4,22,55,4,14,7,26,71,10,27,6,8,11,14945.624,14640.14,10,23
31/12/17,1,6,79,85,5,12,3,49,81,22,46,5,5,7,14764.93314,13215.574,9,40
