,Topic2,Topic6,Topic8,Topic12,Topic17,Topic22,Topic23,Topic29,Topic36,Topic58,Topic66,Topic67,Topic69,Topic93,Price_MA,Value
2018/1/4,4,2,47,5,14,29,5,38,71,19,30,11,8,3,14167.86648,15053.2617
2018/1/5,13,9,33,9,14,14,5,54,99,33,46,13,9,8,14250.49082,15199.355
2018/1/6,9,2,122,3,18,16,1,20,75,17,28,2,5,8,14647.24702,17174.12
2018/1/7,7,6,36,5,6,9,4,38,63,28,34,8,6,5,15248.95602,17319.198
2018/1/8,10,1,107,9,26,9,9,51,99,33,41,9,7,7,15950.35828,16651.4717
2018/1/9,10,6,26,2,8,6,2,28,49,18,21,3,5,4,16279.48128,15265.9067
2018/1/10,16,7,43,11,10,3,3,37,59,17,27,6,9,9,16322.01028,14714.2533
2018/1/11,7,3,128,6,25,9,9,48,91,22,53,2,10,5,16224.98994,15126.3983
2018/1/12,4,3,28,2,9,5,5,28,39,19,23,8,2,4,15815.4456,13296.794
2018/1/13,15,10,149,8,35,15,7,66,112,46,73,14,15,6,15010.9648,13912.882
2018/1/14,0,5,19,4,10,7,6,32,40,17,32,2,4,2,14463.24686,14499.7733
2018/1/15,4,4,38,4,16,2,5,42,45,23,36,6,11,4,14310.02018,13852.92
2018/1/16,6,6,9,8,14,7,4,28,63,24,37,6,6,5,14137.75352,14012.196
2018/1/17,12,2,25,11,8,8,4,28,39,11,23,9,9,2,13914.91306,11180.9983
2018/1/18,3,17,59,16,24,9,5,56,67,29,45,6,12,6,13491.75392,11116.9467
2018/1/19,2,2,20,6,11,5,5,19,21,16,19,2,5,1,12932.56686,11345.4233
2018/1/20,2,2,20,0,7,1,2,10,20,0,16,1,1,0,12301.69686,11422.44
2018/1/21,3,2,96,2,7,4,4,23,48,24,49,0,8,1,11815.60086,12950.7933
2018/1/22,8,2,121,4,18,10,6,31,64,20,30,1,6,3,11603.32032,11505.228
2018/1/23,2,4,108,8,21,7,8,21,45,16,29,5,5,1,11668.16626,10544.5933
2018/1/24,10,7,40,7,14,4,6,49,66,21,40,4,3,9,11553.69558,11223.064
2018/1/25,11,10,405,25,26,11,17,74,137,53,119,9,9,10,11529.22372,11282.2583
2018/1/26,2,7,75,13,12,6,20,13,29,14,19,1,3,4,11501.18738,11214.44
2018/1/27,7,1,31,2,14,3,0,22,25,8,17,3,2,2,11153.91672,10969.815
2018/1/28,9,5,29,12,12,9,2,32,63,12,35,6,7,6,11046.83412,11524.7767
2018/1/29,4,3,12,5,18,2,10,40,43,11,16,1,4,6,11242.8708,11765.71
2018/1/30,6,2,30,7,16,4,5,31,48,28,30,2,7,7,11351.4,11212.655
2018/1/31,4,3,218,7,18,3,5,29,59,22,37,5,5,6,11337.47934,10184.0617
2018/2/1,10,4,19,8,15,4,8,33,62,7,27,2,4,5,11131.40368,10125.0133
2018/2/2,4,0,7,5,13,5,1,26,34,17,14,5,3,3,10962.44334,9083.2583
2018/2/3,6,2,7,3,13,3,4,12,42,9,14,5,2,4,10474.13966,8901.9017
2018/2/4,3,2,3,1,10,15,1,21,35,19,17,6,2,6,9901.378,9076.6783
2018/2/5,9,5,19,4,17,22,7,27,65,24,22,9,7,11,9474.18266,8400.6483
2018/2/6,9,10,23,6,39,12,5,25,68,19,39,6,9,6,9117.49998,6838.8167
2018/2/7,6,4,18,1,13,5,6,11,29,12,19,3,4,1,8460.26066,7685.6333
2018/2/8,4,5,48,11,17,17,2,43,76,12,43,6,13,7,8180.73566,8099.9583
2018/2/9,8,2,66,6,30,8,11,40,66,25,42,9,7,3,8020.34698,8240.5367
2018/2/10,7,3,9,1,13,5,5,32,49,9,35,8,4,8,7853.11866,8535.5167
2018/2/11,3,4,24,3,11,7,3,15,36,15,20,1,2,1,7880.09234,8319.8766
2018/2/12,5,1,14,3,20,6,4,48,68,27,26,7,9,9,8176.30432,8343.455
2018/2/13,5,2,47,1,12,2,3,18,44,14,24,5,3,2,8307.86866,8811.3433
2018/2/14,6,1,12,5,13,4,2,31,61,17,41,5,5,7,8450.14566,8597.7675
2018/2/15,17,7,192,12,18,5,10,44,122,39,96,5,13,7,8521.59182,9334.6333
2018/2/16,3,3,87,2,19,0,3,20,36,10,38,3,8,2,8681.41514,9977.154
2018/2/17,5,8,8,4,9,4,4,16,29,7,15,1,5,1,9012.87062,10127.1617
2018/2/18,0,7,0,6,11,2,2,35,50,12,17,1,5,2,9369.61196,10841.9917
2018/2/19,1,0,10,6,17,2,1,11,25,9,12,3,1,5,9775.74164,10503.2983
2018/2/20,0,5,1,2,7,4,6,24,28,7,15,3,4,6,10156.8478,11110.965
2018/2/21,3,2,29,2,17,2,2,18,45,12,27,3,2,4,10512.11414,11390.3917
2018/2/22,7,2,43,3,11,13,1,27,45,12,29,3,7,14,10794.76168,10532.7917
2018/2/23,6,3,9,2,6,2,1,22,45,8,23,3,15,4,10875.88768,9931.0717
2018/2/24,5,2,0,7,6,3,3,33,32,9,15,6,8,3,10693.70368,10162.1167
2018/2/25,3,2,51,3,10,4,4,13,34,15,19,5,4,2,10625.46736,9697.956
2018/2/26,4,2,11,6,14,11,5,30,43,21,20,2,5,5,10342.86556,9696.5933
2018/2/27,7,4,106,6,20,9,8,23,65,23,34,5,6,5,10004.10588,10348.6033
2018/2/28,6,8,158,5,21,6,7,19,63,15,37,3,4,12,9967.2682,10763.8833
2018/3/1,5,1,40,1,2,0,5,16,27,7,15,4,1,5,10133.83052,10370.165
2018/3/2,3,3,70,6,13,8,8,26,56,15,30,9,3,6,10175.44018,11009.3817
2018/3/3,5,1,35,2,7,5,3,16,34,7,26,3,7,1,10437.72532,11055.815
2018/3/4,0,3,8,3,4,4,6,8,21,3,12,1,1,1,10709.56966,11326.9483
2018/3/5,6,1,78,3,22,7,5,27,49,15,32,1,6,6,10905.23866,11430.1817
2018/3/6,5,6,127,12,19,11,14,36,85,13,42,7,2,1,11038.49834,11595.54
2018/3/7,4,6,58,5,18,6,6,33,39,10,32,7,8,3,11283.57334,10763.1983
2018/3/8,4,6,16,2,12,2,7,19,24,2,7,0,5,3,11234.33666,10118.058
2018/3/9,6,3,11,2,12,2,8,17,40,7,23,2,2,0,11046.78526,9429.1117
2018/3/10,2,1,12,2,3,3,3,11,23,4,10,1,1,2,10667.21794,9089.2783
2018/3/11,5,1,1,2,3,9,2,17,36,6,7,5,0,4,10199.03726,8746.002
2018/3/12,3,2,21,5,17,6,5,22,37,9,19,4,12,1,9629.12966,9761.3967
2018/3/13,6,6,17,6,20,2,8,28,45,11,13,5,3,3,9428.76934,9182.8433
2018/3/14,8,8,94,8,23,10,5,27,65,33,50,4,7,4,9241.7264,9154.7
2018/3/15,3,6,3,4,16,6,9,42,53,29,47,6,7,4,9186.84406,8151.5317
2018/3/16,2,4,81,6,15,3,4,40,58,19,27,2,6,4,8999.29474,8358.1217
2018/3/17,6,6,30,2,8,7,0,26,41,23,24,3,5,3,8921.71868,8530.402
2018/3/18,18,9,167,6,15,6,8,51,109,36,63,8,7,9,8675.51974,7993.6746
2018/3/19,3,0,55,15,10,5,9,28,53,12,22,2,3,3,8437.686,8171.415
2018/3/20,4,4,2,4,26,1,3,28,49,7,13,2,7,3,8241.029,8412.0333
2018/3/21,1,4,26,2,12,5,1,15,41,10,23,4,3,2,8293.12932,8986.9483
2018/3/22,2,3,15,7,17,4,6,26,52,15,16,2,5,0,8418.89464,8947.7533
2018/3/23,1,5,71,5,9,5,2,20,38,13,31,2,4,2,8502.3649,8690.4083
2018/3/24,3,1,132,8,10,7,5,30,64,25,78,5,8,6,8641.71164,8686.8267
2018/3/25,0,4,96,3,7,8,1,19,60,26,52,2,3,5,8744.79398,8662.3783
2018/3/26,2,9,141,5,12,7,6,31,91,18,34,4,17,6,8794.86298,8617.2967
2018/3/27,4,5,46,5,11,4,10,38,66,15,44,4,6,10,8720.93266,8197.5483
2018/3/28,7,6,34,4,20,5,5,42,45,19,26,2,7,5,8570.89166,7876.195
2018/3/29,11,10,105,8,7,9,6,27,69,18,46,7,8,5,8408.049,7960.38
2018/3/30,8,8,68,1,10,8,4,35,47,18,37,3,4,3,8262.75966,7172.28
2018/3/31,11,6,166,4,9,6,8,37,71,15,59,15,7,5,7964.74,6882.5317
2018/4/1,9,5,123,12,9,8,6,33,80,29,49,4,10,6,7617.787,6935.48
2018/4/2,8,5,122,7,24,10,4,30,53,24,34,8,13,4,7365.37334,6794.105
2018/4/3,0,3,111,5,18,10,4,36,90,24,52,8,11,5,7148.95534,7035.8483
2018/4/4,4,2,19,3,13,3,2,17,32,11,16,3,4,3,6964.049,7410.435
2018/4/5,4,4,2,3,10,7,4,36,38,15,23,0,6,3,7011.68,6787.7617
2018/4/6,1,0,1,4,7,6,7,12,27,7,8,2,1,2,6992.726,6826.51
2018/4/7,7,5,7,4,3,3,1,22,35,11,11,3,4,4,6970.932,6603.8767
2018/4/8,3,4,6,2,8,4,3,23,47,10,15,1,5,5,6932.88634,6927.688
2018/4/9,2,2,5,1,14,8,5,14,24,8,5,4,1,0,6911.25428,7017.6567
2018/4/10,3,5,46,6,11,4,7,24,45,14,21,1,5,7,6832.69862,6699.2733
2018/4/11,4,0,3,4,4,1,3,27,32,15,21,4,5,6,6815.00094,6787.5717
2018/4/12,4,4,5,3,13,3,1,16,40,13,11,3,4,2,6807.21328,6926.2667
2018/4/13,3,0,29,2,12,4,0,19,47,15,28,8,5,3,6871.69128,7847.845
2018/4/14,2,1,60,3,7,5,3,19,47,13,29,7,3,3,7055.72268,7895.4083
2018/4/15,5,4,131,11,25,5,6,32,54,21,37,4,8,5,7231.273,8036.5111
2018/4/16,4,3,68,2,10,7,5,32,41,11,26,2,6,9,7498.72056,8340.7483
2018/4/17,2,4,95,1,14,8,8,21,49,22,43,1,5,5,7809.35588,8043.8033
2018/4/18,1,5,72,5,9,2,7,21,41,12,32,6,5,0,8032.8632,7895.4169
2018/4/19,4,5,35,3,10,6,8,27,31,14,16,4,5,0,8042.37758,8164.9374
2018/4/20,6,1,1,1,6,2,1,13,14,5,15,2,5,1,8096.2834,8254.625
2018/4/21,2,1,18,1,7,5,1,12,35,15,17,4,5,2,8139.90618,8852.7183
2018/4/22,1,1,34,1,8,1,3,13,35,9,18,2,4,1,8242.30018,8807.205
2018/4/23,2,1,7,3,9,1,2,14,29,12,9,2,2,1,8394.98052,8838.5483
2018/4/24,3,5,53,12,10,10,7,36,52,14,32,3,3,3,8583.6068,8933.8617
2018/4/25,3,3,66,2,11,7,4,26,48,15,34,11,3,2,8737.39166,9555.542
2018/4/26,7,3,76,4,5,3,4,20,48,13,31,3,0,0,8997.57506,8995.5067
2018/4/27,4,2,39,6,6,7,2,35,39,24,30,4,11,3,9026.13274,9258.3983
2018/4/28,2,3,75,2,6,5,1,13,42,9,32,5,7,6,9116.3714,9010.32
2018/4/29,7,1,67,3,14,6,3,14,40,18,19,3,2,8,9150.72574,9326.1733
2018/4/30,2,3,6,5,16,0,2,19,23,10,12,3,6,1,9229.18806,9334.2817
2018/5/1,3,3,3,3,17,6,5,37,40,10,15,4,3,1,9184.936,9259.57
2018/5/2,4,2,119,5,20,7,5,46,73,33,46,8,6,4,9237.74866,9075.1367
2018/5/3,3,4,1,0,12,4,6,20,41,10,15,1,3,0,9201.09634,9221.426
2018/5/4,2,2,57,3,21,8,3,29,53,27,41,4,4,1,9243.31754,9639.2683
2018/5/5,4,6,52,2,10,4,4,31,36,10,34,1,3,1,9305.93654,9710.73
2018/5/6,7,2,98,3,21,1,7,36,63,23,48,2,9,0,9381.2262,9803.3067
2018/5/7,4,2,37,4,17,5,6,20,45,21,29,7,5,5,9489.97354,9630.1363
2018/5/8,6,8,26,8,24,12,7,52,106,28,41,5,6,6,9600.97346,9345.69
2018/5/9,7,5,38,4,11,2,4,34,60,16,20,7,8,6,9625.82626,9228.6083
2018/5/10,4,7,71,13,13,2,1,20,46,12,32,6,1,5,9543.69426,9322.0417
2018/5/11,7,3,50,4,10,4,1,25,58,22,28,7,5,10,9465.9566,9101.4833
2018/5/12,3,6,10,4,6,3,2,18,14,3,11,2,1,3,9325.59192,8468.788
2018/5/13,11,3,33,10,12,2,4,33,45,10,25,3,9,3,9093.32226,8484.3467
2018/5/14,8,8,384,9,50,8,15,38,127,56,93,4,6,5,8921.0536,8727.6517
2018/5/15,7,5,54,6,21,7,4,30,32,15,35,4,3,3,8820.86228,8652.0383
2018/5/16,6,5,12,3,9,5,7,23,46,20,12,3,2,2,8686.8616,8511.458
2018/5/17,4,2,14,0,6,2,0,11,27,9,8,4,1,2,8568.85654,8340.7033
2018/5/18,1,1,11,7,10,1,2,41,41,13,21,1,4,6,8543.2396,8106.1183
2018/5/19,2,1,0,1,2,0,3,10,26,7,4,0,1,3,8467.59392,8240.055
2018/5/20,4,2,59,4,5,6,3,19,46,9,19,1,0,5,8370.07458,8223.2883
2018/5/21,1,0,18,1,11,2,1,10,40,7,17,1,1,1,8284.32458,8507.4067
2018/5/22,5,2,3,9,14,11,1,41,50,8,28,4,8,4,8283.51432,8385.5562
2018/5/23,1,6,7,7,17,6,4,23,59,24,35,11,6,2,8292.4849,8015.58
2018/5/24,2,1,10,0,11,2,3,27,40,18,14,1,5,3,8274.37724,7555.74
2018/5/25,3,1,45,4,16,3,3,24,50,21,38,0,4,5,8137.51424,7566.1933
2018/5/26,9,5,35,5,10,3,0,28,54,17,27,2,3,2,8006.09524,7445.2383
2018/5/27,2,6,5,3,9,4,5,28,55,12,14,1,6,3,7793.66156,7342.9083
2018/5/28,7,7,20,2,12,6,6,34,51,10,25,5,10,7,7585.13198,7361.8317
2018/5/29,7,2,82,8,15,2,4,27,60,14,43,8,9,8,7454.38232,7130.5417
2018/5/30,7,17,56,5,22,1,7,35,61,21,44,6,10,3,7369.34266,7459.8767
2018/5/31,1,2,9,6,6,6,8,24,30,5,16,3,1,3,7348.07934,7385.395
2018/6/1,1,4,45,5,8,8,4,36,44,19,34,6,3,7,7336.11068,7491.434
2018/6/2,5,4,47,1,9,3,3,15,43,12,27,7,4,2,7365.81582,7535.1467
2018/6/3,2,3,8,3,9,3,0,11,27,8,8,1,0,2,7400.47882,7645.1467
2018/6/4,1,1,17,2,7,2,4,17,17,13,17,2,4,1,7503.39982,7699.886
2018/6/5,1,6,45,4,17,1,1,22,42,14,23,1,1,2,7551.40168,7500.2733
2018/6/6,1,2,14,6,23,4,3,24,31,16,14,5,6,0,7574.37734,7615.7221
2018/6/7,0,2,3,4,2,0,0,9,21,4,6,3,1,2,7599.23496,7655.6133
2018/6/8,3,1,5,8,7,7,10,25,52,18,24,1,3,4,7623.32828,7676.2717
2018/6/9,2,2,8,2,6,1,3,19,28,6,11,3,5,2,7629.55328,7620.1533
2018/6/10,8,5,35,2,11,6,3,21,60,14,29,4,4,5,7613.60674,7564.4083
2018/6/11,3,5,40,3,11,10,6,25,69,14,31,3,3,2,7626.43374,6776.8883
2018/6/12,4,7,57,5,33,4,3,77,85,40,42,10,11,7,7458.66698,6875.6783
2018/6/13,2,5,12,5,17,7,4,80,78,29,34,6,12,2,7302.67998,6535.0817
2018/6/14,8,1,11,7,25,4,5,35,52,9,24,4,8,4,7074.44198,6315.7
2018/6/15,5,1,2,5,11,8,14,39,48,33,23,5,12,6,6813.55132,6647.0133
2018/6/16,0,3,5,1,8,1,1,16,39,6,14,14,1,2,6630.07232,6434.088
2018/6/17,7,4,32,9,13,6,3,43,64,19,34,14,8,5,6561.51226,6509.4267
2018/6/18,4,2,7,4,10,5,2,32,36,9,22,2,4,2,6488.26194,6464.4117
2018/6/19,6,6,2,6,10,7,5,45,63,22,25,8,8,8,6474.12794,6713.488
2018/6/20,2,6,16,5,6,3,7,25,41,11,16,10,3,1,6553.68554,6737
2018/6/21,4,4,7,12,12,12,12,75,72,33,43,5,16,5,6571.68288,6714.7183
2018/6/22,4,3,2,2,22,1,5,24,38,8,22,5,4,2,6627.80894,6733.9017
2018/6/23,4,5,22,3,5,1,6,10,32,11,17,4,3,0,6672.70394,6332.5733
2018/6/24,1,1,35,4,13,9,2,40,51,23,33,1,6,7,6646.33626,6141.6058
2018/6/25,1,5,25,6,22,7,6,21,62,17,24,7,2,3,6531.95982,6037.0083
2018/6/26,2,5,1,5,10,0,1,21,29,12,16,3,2,3,6391.96148,6211.4475
2018/6/27,3,1,27,3,14,2,1,22,29,14,23,1,6,2,6291.30732,6218.595
2018/6/28,6,3,42,7,10,3,0,18,30,16,21,5,4,3,6188.24598,6105.295
2018/6/29,11,1,42,5,10,2,5,18,47,24,25,2,5,4,6142.79032,6107.8962
2018/6/30,3,6,5,6,10,3,2,27,35,13,16,3,9,14,6136.0484,5908.7025
2018/7/1,2,6,6,1,7,2,2,10,31,11,14,2,5,3,6110.38724,6381.3908
2018/7/2,4,6,1,10,4,3,7,26,23,5,17,2,4,1,6144.3759,6374.7542
2018/7/3,5,0,6,7,17,6,5,24,34,16,10,4,8,4,6175.60774,6466.0692
2018/7/4,4,6,3,5,13,3,5,25,31,12,21,3,4,1,6247.76258,6613.6858
2018/7/5,0,6,4,5,15,1,4,21,21,10,14,4,3,1,6348.9205,6593.2892
2018/7/6,6,10,6,5,17,6,4,23,31,12,20,7,5,2,6485.83784,6603.3767
2018/7/7,1,1,9,1,5,1,3,28,34,10,15,0,2,2,6530.23502,6569.4962
2018/7/8,5,5,20,7,10,9,4,50,99,41,37,7,13,9,6569.18342,6594.2817
2018/7/9,3,6,11,4,36,1,10,39,66,25,28,4,6,6,6594.82592,6753.5592
2018/7/10,0,7,8,3,16,1,6,23,26,14,18,0,5,5,6622.8006,6723.8725
