Date,Topic2,Topic6,Topic8,Topic13,Topic17,Topic22,Topic23,Topic29,Topic36,Topic58,Topic66,Topic67,Topic69,Topic93,MA_PRICE,Price
6/7/18,6,10,6,29,17,6,4,23,31,12,20,7,5,2,6530.235,6603.376667
7/7/18,1,1,9,28,5,1,3,28,34,10,15,0,2,2,6569.183398,6569.496154
8/7/18,5,5,20,104,10,9,4,50,99,41,37,7,13,9,6594.825898,6594.281667
9/7/18,3,6,11,65,36,1,10,39,66,25,28,4,6,6,6622.800564,6753.559167
10/7/18,0,7,8,27,16,1,6,23,26,14,18,0,5,5,6648.917231,6723.8725
11/7/18,5,12,2,33,12,4,1,18,23,6,19,7,4,0,6630.400231,6510.791667
12/7/18,2,5,3,36,10,2,2,33,38,15,11,0,4,3,6591.973667,6377.363333
13/7/18,1,4,0,27,19,2,4,33,52,16,11,0,3,2,6519.836333,6233.595
14/7/18,3,1,4,18,12,2,4,23,26,8,14,5,1,3,6417.996,6244.3575
15/7/18,5,1,2,15,5,2,4,6,18,6,6,0,4,3,6321.4215,6241
16/7/18,3,2,1,35,9,5,9,17,42,18,9,4,2,4,6282.6395,6316.881667
17/7/18,2,1,3,45,14,1,2,26,29,16,24,5,8,1,6310.045,6514.390833
18/7/18,2,3,6,62,10,3,7,30,48,10,26,2,3,2,6437.308167,6869.910833
19/7/18,3,3,9,32,10,3,0,27,33,8,12,2,4,7,6668.169,7398.661667
20/7/18,7,8,68,84,15,2,3,35,58,22,39,8,6,1,6899.249333,7396.401667
21/7/18,6,3,2,38,6,3,2,16,23,13,8,2,6,3,7121.482,7428.045
22/7/18,2,7,6,78,15,4,1,32,71,18,24,2,9,3,7289.10291,7352.495385
23/7/18,3,3,9,23,14,1,1,14,13,11,16,3,1,3,7405.378577,7451.289167
24/7/18,17,6,2,53,19,5,2,52,77,22,39,3,8,16,7463.623077,7689.884167
25/7/18,6,7,2,15,20,5,2,17,18,3,10,4,5,3,7606.928744,8112.93
26/7/18,3,3,2,66,13,6,8,37,55,13,19,5,5,3,7771.552744,8251.165
27/7/18,3,5,2,33,11,7,0,9,25,8,18,2,2,0,7938.5185,8187.324167
28/7/18,2,3,71,59,16,3,15,36,57,13,26,1,5,3,8053.312167,8025.2575
29/7/18,2,1,5,20,5,2,1,20,21,6,21,1,4,1,8151.785667,8182.251667
30/7/18,1,3,9,23,8,3,6,25,33,9,18,1,3,3,8170.468,8206.341667
31/7/18,3,2,4,49,21,7,3,38,49,21,21,4,5,5,8148.864667,8143.148333
1/8/18,2,8,5,37,5,2,2,27,33,9,12,4,8,4,8094.76,7916.800833
2/8/18,2,0,1,32,16,4,2,13,34,10,10,4,0,3,8003.882333,7570.869167
3/8/18,5,3,3,43,7,3,4,17,40,16,25,1,1,6,7886.061833,7593.149167
4/8/18,5,3,3,36,6,4,3,13,27,11,17,3,1,4,7723.693333,7394.499167
5/8/18,0,0,2,11,1,3,2,12,17,10,15,1,2,3,7544.6175,7247.769167
6/8/18,3,2,14,27,7,2,1,20,21,9,14,3,4,0,7361.001,6998.718333
7/8/18,3,4,72,74,15,6,4,21,52,18,30,2,4,1,7244.443,6988.079167
8/8/18,2,3,3,61,22,5,3,27,38,11,19,7,1,3,7124.515833,6993.513333
9/8/18,7,1,0,28,9,3,4,22,31,18,17,2,2,1,6935.689385,6450.366923
10/8/18,7,5,9,114,18,11,7,85,103,54,56,6,16,8,6765.490051,6396.7725
11/8/18,6,5,4,72,5,6,9,41,48,24,28,3,1,7,6645.045318,6396.494667
12/8/18,2,3,6,80,7,1,4,40,55,25,26,5,3,4,6486.560151,6195.653333
13/8/18,10,15,8,96,8,7,11,85,86,45,37,5,14,4,6350.083818,6311.131667
14/8/18,6,6,3,60,6,5,9,27,50,15,20,1,5,6,6329.424433,6347.07
15/8/18,7,6,40,86,15,9,5,34,60,15,31,7,5,5,6260.258433,6050.9425
16/8/18,5,7,26,78,12,5,7,34,71,22,43,6,3,4,6253.494885,6362.676923
17/8/18,4,1,18,69,13,9,10,32,57,21,28,4,11,11,6282.890064,6342.629231
18/8/18,6,6,4,48,14,7,16,21,34,19,23,5,3,7,6316.043731,6476.9
19/8/18,4,3,12,45,26,2,2,20,38,15,14,2,7,1,6333.973897,6436.720833
20/8/18,11,6,74,54,21,3,6,36,63,17,32,4,4,2,6404.598064,6404.063333
21/8/18,1,3,4,41,9,5,0,25,38,19,22,5,2,3,6418.974513,6434.559167
22/8/18,4,6,27,54,14,4,4,17,39,17,23,3,6,2,6430.697897,6401.246154
23/8/18,7,8,72,62,14,6,4,51,53,19,44,7,7,5,6450.363731,6575.229167
24/8/18,7,6,5,37,20,2,6,29,41,13,16,3,6,1,6449.995898,6434.881667
25/8/18,6,4,15,67,7,3,3,69,47,38,34,10,8,9,6477.912374,6543.645714
26/8/18,4,7,20,47,11,6,10,36,51,30,27,3,6,5,6534.886387,6719.429231
27/8/18,1,12,10,71,11,4,4,43,64,19,25,5,7,9,6589.291989,6673.274167
28/8/18,6,10,6,72,24,5,10,44,58,15,23,6,7,4,6618.099387,6719.266154
29/8/18,5,12,5,36,15,3,7,28,49,21,17,4,7,10,6731.131053,7000.04
30/8/18,2,7,21,74,12,3,3,48,67,21,34,2,5,8,6833.257196,7054.276429
31/8/18,9,17,43,92,20,13,11,58,88,34,51,9,13,9,6875.90385,6932.6625
1/9/18,5,4,28,72,5,5,6,33,65,22,16,4,6,1,6937.638247,6981.946154
2/9/18,14,2,72,56,11,11,8,28,59,15,23,2,5,4,7013.97435,7100.946667
3/9/18,12,14,8,211,12,12,10,79,143,61,61,10,14,12,7063.553427,7247.935385
4/9/18,4,10,11,77,18,6,5,43,67,21,23,7,4,4,7104.887987,7260.949231
5/9/18,6,7,36,105,30,12,12,64,84,31,39,15,12,12,7183.725987,7326.8525
6/9/18,9,4,50,102,9,10,5,33,76,52,35,9,6,10,7209.950603,7113.069231
7/9/18,2,6,41,86,12,6,5,48,54,44,45,5,7,4,7076.415603,6433.271667
8/9/18,10,6,25,49,21,5,10,39,64,32,43,5,11,6,6915.789359,6444.804167
9/9/18,12,9,4,157,10,13,9,65,114,39,45,10,13,7,6736.821013,6366.1075
10/9/18,4,3,2,69,12,5,7,49,50,15,25,5,2,6,6528.73568,6286.425833
11/9/18,6,10,45,66,25,14,13,40,93,46,34,14,4,5,6365.697372,6297.877692
12/9/18,6,6,2,105,19,6,7,73,117,41,36,13,14,2,6338.307205,6296.320833
13/9/18,4,4,2,37,18,7,3,24,33,14,20,2,5,3,6303.973872,6273.1375
14/9/18,4,6,78,49,9,3,8,20,50,11,37,9,6,5,6320.788218,6450.179231
15/9/18,6,6,11,92,20,6,7,53,81,20,52,4,6,8,6363.315551,6499.0625
16/9/18,6,7,5,49,14,5,2,47,59,25,36,2,5,7,6407.471013,6518.655
17/9/18,3,3,5,68,17,7,4,27,49,13,28,5,8,5,6444.33568,6480.644167
18/9/18,2,14,31,112,22,12,5,81,105,46,39,7,11,7,6469.828346,6400.600833
19/9/18,5,10,2,73,63,11,2,64,81,32,20,5,5,10,6439.118833,6296.631667
20/9/18,7,3,1,48,11,5,4,20,39,10,17,3,6,2,6406.471667,6335.826667
21/9/18,6,11,3,70,13,15,3,30,75,25,22,8,9,8,6386.4532,6418.562667
22/9/18,3,3,1,36,6,1,4,21,43,17,20,4,3,3,6424.322533,6669.990833
23/9/18,2,2,1,24,4,3,1,16,25,6,16,2,1,1,6486.064867,6709.3125
24/9/18,4,2,2,23,4,5,0,10,28,7,6,1,7,0,6568.827533,6710.445
25/9/18,6,9,2,59,20,8,4,40,64,25,34,9,14,6,6629.523033,6639.304167
26/9/18,5,7,8,106,27,5,4,58,78,29,59,11,9,5,6628.302333,6412.459167
27/9/18,3,8,2,69,26,18,3,44,50,27,29,7,5,8,6588.0305,6468.631667
28/9/18,0,7,11,46,12,6,2,17,36,9,20,2,6,2,6553.263334,6535.476667
29/9/18,1,8,2,37,11,3,3,22,42,18,16,2,3,6,6546.642834,6677.3425
30/9/18,3,4,4,69,8,12,5,64,66,26,39,6,14,6,6528.876834,6550.474167
1/10/18,4,1,0,22,13,2,0,14,23,17,12,1,4,2,6565.012,6593.135
2/10/18,2,7,2,39,12,7,5,28,27,23,20,4,12,5,6589.479333,6590.968333
3/10/18,3,8,5,46,9,8,2,31,38,18,25,4,5,3,6594.912333,6562.641667
4/10/18,12,2,4,39,6,2,2,17,25,11,12,2,5,2,6553.524333,6470.4025
5/10/18,6,6,3,46,32,0,4,35,54,21,26,3,7,2,6556.155167,6563.628333
6/10/18,3,5,8,29,6,3,2,26,32,6,15,0,3,4,6551.238,6568.549167
7/10/18,0,5,0,37,6,4,2,25,37,11,27,5,3,5,6549.341667,6581.486667
8/10/18,5,7,27,98,8,11,5,38,87,31,51,8,9,9,6548.520833,6558.5375
9/10/18,5,1,1,30,7,3,1,10,18,13,10,1,0,1,6578.153872,6618.567692
10/10/18,9,8,6,65,23,2,3,18,47,19,15,2,5,8,6589.770539,6621.711667
11/10/18,4,8,1,50,9,5,7,39,70,14,26,7,4,6,6588.662539,6563.009167
12/10/18,5,6,1,20,3,1,7,20,35,10,5,5,4,3,6522.092372,6248.635833
13/10/18,5,3,1,22,7,6,3,23,26,4,19,0,2,1,6462.491038,6260.530833
14/10/18,4,0,0,30,3,4,2,12,29,10,10,3,2,3,6390.906667,6260.645833
15/10/18,6,5,1,44,10,4,5,24,48,13,21,5,6,3,6326.444167,6299.399167
16/10/18,4,2,10,33,16,9,5,26,35,11,17,3,0,4,6304.356667,6452.571667
17/10/18,2,6,1,49,7,5,5,28,40,21,25,5,4,2,6373.953167,6596.618333
18/10/18,2,1,0,39,7,2,2,23,38,14,15,4,8,4,6441.102231,6596.276154
19/10/18,4,9,2,52,7,1,5,35,41,21,27,1,6,4,6502.581218,6568.040769
20/10/18,2,3,1,28,3,2,1,19,27,6,14,5,2,1,6540.190218,6487.444167
21/10/18,3,1,1,52,4,2,1,17,29,15,17,2,0,3,6547.441051,6488.825833
22/10/18,4,2,1,31,12,2,3,16,34,10,8,6,4,10,6534.437718,6531.601667
23/10/18,2,0,1,20,8,4,6,17,53,20,19,0,7,3,6514.879654,6498.485833
24/10/18,1,3,1,41,8,1,7,29,42,10,18,1,5,2,6497.5567,6481.426
25/10/18,3,4,5,48,19,5,3,49,43,15,21,2,4,8,6501.729867,6508.31
26/10/18,8,6,7,52,13,5,6,48,56,19,22,4,7,2,6499.5812,6478.0825
27/10/18,3,10,4,37,2,5,1,24,25,12,11,5,2,4,6488.011533,6473.753333
28/10/18,1,5,1,50,5,6,12,41,53,14,16,1,3,8,6481.497867,6465.9175
29/10/18,6,4,3,56,10,7,3,31,48,14,18,5,5,7,6474.857,6448.221667
30/10/18,5,7,6,38,8,6,4,13,43,4,18,1,8,2,6449.728667,6382.668333
31/10/18,2,3,2,19,16,5,3,28,31,12,15,4,4,2,6416.002738,6309.452857
1/11/18,2,6,2,57,10,4,3,27,47,12,19,3,3,6,6383.308905,6310.284167
2/11/18,5,5,22,59,16,2,6,36,46,13,20,6,6,5,6358.581571,6342.280833
3/11/18,8,9,12,87,12,9,7,76,77,30,21,4,11,7,6346.472071,6387.674167
4/11/18,8,8,8,53,15,6,8,46,55,21,31,12,8,8,6342.697571,6363.795833
5/11/18,5,7,8,56,16,2,2,36,51,13,26,15,4,7,6359.181667,6391.873333
6/11/18,5,5,7,84,28,4,2,52,53,35,28,2,9,5,6384.517833,6436.965
7/11/18,6,9,4,63,13,1,3,35,54,22,34,0,4,5,6405.1325,6445.354167
8/11/18,5,5,12,66,10,6,2,37,57,19,21,2,9,8,6435.355667,6538.79
9/11/18,4,3,2,42,7,5,1,23,28,10,13,5,5,2,6459.846833,6486.251667
10/11/18,3,6,9,52,5,2,5,18,44,15,16,1,2,2,6463.728333,6411.280833
11/11/18,5,3,2,52,8,5,9,28,47,13,16,4,3,2,6456.142,6399.033333
12/11/18,2,10,5,61,4,6,3,46,41,18,27,2,4,8,6442.724833,6378.268333
13/11/18,5,5,5,52,20,10,5,27,47,16,12,1,4,2,6415.354167,6401.936667
14/11/18,11,6,11,75,18,8,2,37,45,15,30,4,10,7,6392.5165,6372.063333
15/11/18,5,2,3,79,10,7,7,38,59,10,31,2,2,7,6345.491333,6176.155
16/11/18,2,8,6,64,7,10,2,26,56,9,28,2,4,6,6188.720667,5615.18
17/11/18,4,6,16,43,6,12,3,24,39,16,26,3,0,5,6032.3055,5596.1925
18/11/18,2,5,5,48,9,7,2,30,46,12,27,3,1,4,5863.566833,5558.243333
19/11/18,3,14,9,93,14,9,7,59,78,45,28,15,11,7,5710.363,5606.044167
20/11/18,4,13,8,79,29,7,10,34,84,24,24,21,9,3,5535.9205,5303.9425
21/11/18,6,2,3,75,20,9,1,41,52,11,29,5,3,2,5347.2785,4671.97
22/11/18,8,7,3,76,11,6,5,52,69,27,36,4,10,5,5134.776167,4533.680833
23/11/18,1,1,1,19,17,2,2,7,9,5,6,0,1,0,4932.887,4548.7975
24/11/18,4,0,1,24,4,1,0,8,18,6,3,0,0,1,4673.545667,4309.3375
25/11/18,2,2,3,36,1,2,2,7,14,3,8,0,1,2,4471.525333,4293.840833
26/11/18,2,0,7,34,10,0,2,5,20,5,11,2,3,0,4301.833667,3823.511667
27/11/18,2,3,2,31,19,6,14,22,27,9,13,1,5,4,4179.204833,3920.536667
28/11/18,4,2,5,37,8,1,5,22,40,11,14,2,7,2,4019.779,3751.668333
29/11/18,1,1,1,33,7,1,6,19,31,15,21,2,3,0,3978.602269,4103.453846
30/11/18,6,2,3,27,15,4,7,13,25,7,8,1,1,2,3972.590769,4263.783333
1/12/18,4,2,3,18,4,2,0,20,33,3,8,2,2,4,4029.262769,4106.871667
2/12/18,2,2,1,24,9,4,5,11,41,6,16,7,3,4,4068.510936,4116.7775
3/12/18,4,8,3,23,17,3,3,13,24,3,8,3,7,4,4151.686603,4167.546667
4/12/18,1,4,0,16,8,3,0,7,16,13,12,1,6,1,4124.500667,3967.524167
5/12/18,6,5,4,56,13,5,13,39,39,16,18,2,5,4,4064.042667,3961.493333
6/12/18,5,5,5,46,5,2,3,37,22,10,18,3,6,7,4014.338167,3858.349167
7/12/18,1,5,19,45,9,2,3,15,35,3,18,4,0,3,3939.571333,3742.943333
8/12/18,0,1,1,30,5,7,1,26,29,4,14,4,3,4,3787.190667,3405.643333
9/12/18,5,3,0,30,1,2,1,19,30,9,15,2,3,3,3680.753833,3435.34
10/12/18,3,1,0,33,11,0,3,23,26,5,18,4,4,2,3594.215833,3528.803333
11/12/18,4,4,3,46,12,2,3,24,45,8,20,1,3,4,3527.338,3523.96
12/12/18,2,11,11,41,2,10,4,16,36,8,18,5,4,3,3463.987333,3426.19
13/12/18,2,8,4,65,15,4,1,37,52,15,20,3,5,6,3475.266667,3462.04
14/12/18,6,4,7,56,9,5,14,26,44,21,34,1,5,3,3469.551167,3406.7625
15/12/18,2,2,2,25,5,3,2,13,24,5,9,3,4,2,3419.465333,3278.374167
16/12/18,1,2,4,26,4,2,7,16,30,8,24,4,2,3,3359.733167,3225.299167
17/12/18,3,8,7,64,13,7,4,63,90,21,30,15,5,13,3328.742833,3271.238333
18/12/18,6,6,2,95,21,15,3,35,78,30,39,4,16,5,3314.815833,3392.405
19/12/18,3,5,2,46,7,3,2,27,45,20,12,8,12,3,3346.957333,3567.47
20/12/18,5,1,1,44,7,1,7,21,34,12,13,1,0,2,3452.891,3808.0425
21/12/18,3,5,13,66,13,2,3,23,45,15,22,5,6,6,3604.401333,3982.850833
22/12/18,2,3,4,54,12,6,3,33,52,12,20,5,5,2,3753.2755,4015.609167
23/12/18,4,1,6,43,8,2,4,32,36,14,18,5,6,5,3856.989167,3910.973333
24/12/18,1,2,24,47,5,1,3,24,32,12,24,1,5,2,3948.990833,4027.478333
25/12/18,5,1,2,59,12,7,3,40,52,34,20,14,5,5,4023.1005,4178.590833
26/12/18,1,2,5,29,1,2,2,18,34,8,22,3,5,2,3989.306333,3813.88
27/12/18,9,4,8,116,14,14,17,61,74,29,42,8,11,25,3951.260333,3825.379167
28/12/18,7,8,2,114,21,8,8,84,117,35,51,4,14,10,3918.6335,3747.839167
29/12/18,4,2,5,33,15,4,3,36,44,15,9,5,4,6,3861.918833,3743.905
30/12/18,2,4,0,28,5,3,0,16,30,9,15,1,2,1,3808.657833,3912.285833
31/12/18,0,6,3,23,6,8,2,27,30,5,9,1,2,2,3812.466167,3832.921667
1/1/19,0,2,0,20,8,1,1,12,11,2,7,0,2,0,3805.6995,3791.545833
2/1/19,4,3,0,39,12,5,2,42,40,15,26,6,4,5,3806.586,3752.271667
3/1/19,1,1,2,24,7,2,3,22,24,5,14,1,1,1,3831.232667,3867.138333
4/1/19,1,1,11,25,8,4,1,17,33,9,11,1,6,2,3821.935,3865.7975
5/1/19,0,1,0,31,9,3,4,20,44,16,19,1,5,2,3819.876,3822.626667
6/1/19,1,2,0,31,2,1,4,9,29,6,13,1,0,1,3835.264333,3868.4875
7/1/19,6,2,7,45,5,4,3,36,59,14,19,0,20,3,3868.901333,3920.456667
8/1/19,4,5,1,39,4,2,1,26,24,6,5,2,2,5,3902.692333,4036.093333
9/1/19,0,1,0,10,4,0,1,4,10,1,6,2,1,0,3936.703833,4035.855
10/1/19,3,0,1,28,17,0,0,11,23,14,12,2,1,0,3979.006167,4034.138333
11/1/19,3,3,0,48,9,9,5,28,48,23,20,4,5,4,3967.825833,3812.585833
12/1/19,7,4,1,69,3,4,16,40,61,21,33,1,5,6,3915.081666,3656.735833
13/1/19,1,0,0,21,2,4,1,21,23,5,9,2,1,1,3837.132166,3646.345833
14/1/19,2,3,1,17,13,3,1,10,25,5,8,0,2,1,3749.9295,3599.841667
15/1/19,1,3,0,18,2,0,2,10,18,9,7,3,4,7,3663.925333,3604.1175
16/1/19,0,3,2,14,12,2,2,12,22,4,8,3,5,0,3632.765167,3656.785
17/1/19,3,1,0,19,4,3,1,8,13,5,6,1,2,2,3625.672167,3621.270833
18/1/19,4,5,3,55,13,1,4,13,48,16,24,1,4,4,3620.395833,3619.964167
19/1/19,4,3,8,39,4,1,4,29,39,11,18,3,1,1,3626.9065,3632.395
20/1/19,1,1,9,13,5,3,2,11,26,7,9,1,3,1,3644.187667,3690.523333
21/1/19,2,3,7,25,9,3,1,28,28,8,28,2,2,4,3636.856167,3620.1275
