Date,Topic2,Topic6,Topic8,Topic13,Topic17,Topic22,Topic23,Topic29,Topic36,Topic58,Topic66,Topic67,Topic69,Topic93,MA_PRICE,Price
11/10/17,3,2,36,35,11,4,8,19,26,9,12,0,11,7,4576.86474,4782.28
12/10/17,2,1,17,36,21,6,1,23,20,2,16,7,5,3,4671.641227,4819.485767
13/10/17,4,1,16,39,20,7,2,18,42,9,11,1,3,1,4861.42903,5325.130683
14/10/17,6,5,31,45,13,3,3,20,37,10,21,2,4,5,5053.734167,5563.806567
15/10/17,1,7,32,45,11,5,7,24,33,10,15,2,5,3,5246.02835,5739.438733
16/10/17,0,3,8,27,10,4,3,24,31,6,15,2,4,4,5419.034683,5647.311667
17/10/17,7,5,17,37,7,4,6,16,32,8,18,2,5,6,5597.378703,5711.205867
18/10/17,3,3,20,40,29,2,5,51,51,14,20,4,5,6,5653.095155,5603.71294
19/10/17,3,8,2,50,18,5,33,26,44,16,21,6,8,5,5649.569061,5546.1761
20/10/17,18,11,43,84,39,9,11,47,83,22,30,7,5,10,5647.208015,5727.6335
21/10/17,7,5,54,62,22,2,6,25,51,14,26,4,5,6,5713.637649,5979.45984
22/10/17,5,1,18,32,7,1,2,14,35,6,9,1,5,2,5775.470813,6020.371683
23/10/17,5,3,1,38,24,4,2,22,37,11,15,2,1,12,5851.365135,5983.18455
24/10/17,7,8,2,55,11,3,6,50,55,15,32,4,3,4,5917.345888,5876.079867
25/10/17,2,4,1,59,23,5,10,38,31,14,19,7,4,5,5872.984741,5505.827767
26/10/17,1,3,8,35,17,4,3,22,27,10,12,0,4,2,5811.01728,5669.622533
27/10/17,7,3,7,31,13,1,3,17,18,10,6,1,0,1,5785.570627,5893.138417
28/10/17,6,2,2,33,9,1,7,33,41,13,14,3,5,6,5743.434713,5772.504983
29/10/17,2,0,6,26,2,4,1,8,18,4,6,0,1,0,5723.55813,5776.69695
30/10/17,1,4,2,13,6,2,2,12,15,9,9,3,0,1,5853.479381,6155.43402
31/10/17,3,3,19,58,15,1,5,17,46,15,14,7,2,3,5940.729718,6105.87422
1/11/17,0,0,9,27,6,4,2,11,19,6,13,0,4,3,6039.831068,6388.645167
2/11/17,3,7,105,103,21,7,7,58,84,34,33,7,8,5,6218.391408,6665.306683
3/11/17,9,8,78,81,19,4,4,34,76,21,33,3,6,4,6476.656038,7068.0201
4/11/17,3,2,24,45,20,10,3,20,61,9,23,2,5,4,6685.113246,7197.72006
5/11/17,3,2,13,36,3,7,2,14,16,3,8,2,3,1,6951.447065,7437.543317
6/11/17,5,4,11,46,9,5,7,32,39,8,15,3,4,1,7149.120505,7377.012367
7/11/17,6,10,13,43,9,5,19,24,39,11,24,2,7,4,7213.873502,6989.071667
8/11/17,4,2,56,70,19,7,15,25,68,17,26,4,11,7,7218.694929,7092.127233
9/11/17,1,1,2,35,27,1,2,17,27,14,18,1,2,2,7262.326567,7415.87825
10/11/17,4,1,1,59,14,3,7,34,56,27,28,3,3,1,7206.425315,7158.03706
11/11/17,8,7,54,63,12,3,7,34,65,22,43,6,8,2,7074.902412,6719.39785
12/11/17,7,8,94,112,19,6,7,60,103,27,55,6,11,8,6949.658285,6362.851033
13/11/17,7,2,37,63,43,4,5,31,47,21,40,10,1,5,6674.493155,5716.301583
14/11/17,2,3,23,58,34,9,6,29,54,14,24,6,11,2,6501.363012,6550.227533
15/11/17,6,5,16,77,15,4,10,34,48,14,33,6,4,2,6396.838126,6635.412633
16/11/17,5,3,41,53,18,4,3,19,40,15,33,2,10,4,6513.24454,7301.42992
17/11/17,7,3,8,44,7,0,3,37,47,19,18,0,6,7,6803.680474,7815.0307
18/11/17,6,1,24,35,3,1,2,25,28,2,11,4,1,1,7217.797031,7786.884367
19/11/17,2,4,5,30,5,1,2,15,21,7,15,3,2,2,7471.179601,7817.140383
20/11/17,2,1,16,42,13,10,7,32,49,12,18,4,6,3,7745.627887,8007.654067
21/11/17,5,3,7,46,7,2,2,23,25,9,11,4,2,4,7936.461267,8255.596817
22/11/17,0,4,1,42,17,8,5,27,34,18,19,2,6,3,7985.415127,8059.8
23/11/17,5,4,14,46,13,2,3,16,32,14,21,3,2,4,8081.645253,8268.035
24/11/17,3,5,32,44,8,2,4,25,47,21,16,3,5,4,8148.007177,8148.95
25/11/17,4,4,8,50,6,6,2,23,35,19,16,5,4,2,8196.67203,8250.978333
26/11/17,2,2,2,39,18,7,0,34,30,13,19,3,6,4,8287.03412,8707.407267
27/11/17,2,4,17,48,16,2,8,23,33,8,12,10,5,5,8531.90288,9284.1438
28/11/17,6,2,9,54,27,7,8,36,49,21,23,6,5,11,8821.95489,9718.29505
29/11/17,8,13,8,57,10,7,7,29,66,17,28,2,8,12,9182.666654,9952.50882
30/11/17,10,3,4,70,11,11,5,43,65,25,24,2,14,8,9508.336654,9879.328333
1/12/17,7,15,8,58,18,4,5,35,51,15,26,6,6,7,9796.329601,10147.372
2/12/17,24,1,208,76,5,3,8,29,58,10,38,4,8,7,10116.28324,10883.912
3/12/17,8,6,44,67,15,1,8,33,75,17,27,2,6,10,10386.8979,11071.36833
4/12/17,8,11,13,59,9,9,2,41,53,21,22,7,9,9,10662.92053,11332.622
5/12/17,4,8,54,75,19,8,7,36,70,21,29,11,10,7,11004.02087,11584.83
6/12/17,3,3,75,96,30,3,6,46,80,18,40,1,11,4,11350.23313,11878.43333
7/12/17,4,7,8,75,17,1,7,32,65,14,32,2,4,3,11881.64673,13540.98
8/12/17,5,4,8,56,16,6,4,28,35,12,16,5,5,8,12967.7674,16501.97167
9/12/17,15,6,78,85,22,10,15,65,84,31,47,4,13,8,13902.73033,16007.43667
10/12/17,5,12,68,82,17,11,4,63,83,22,46,5,7,5,14614.33116,15142.83415
11/12/17,6,2,44,63,19,7,6,42,57,9,27,3,5,7,15212.6055,14869.805
12/12/17,13,9,22,64,16,7,4,50,58,17,29,6,7,4,15856.83283,16762.11667
13/12/17,8,1,42,63,22,7,6,38,66,13,23,10,4,6,16011.71716,17276.39333
14/12/17,6,1,15,60,14,9,4,66,56,22,26,4,12,8,16171.90316,16808.36667
15/12/17,1,4,5,65,11,6,3,31,54,21,19,5,4,5,16479.11473,16678.892
16/12/17,4,1,4,32,5,4,6,14,44,8,13,3,3,6,17059.53373,17771.9
17/12/17,10,16,50,123,15,13,7,54,107,39,67,6,12,19,17606.84707,19498.68333
18/12/17,3,2,25,78,12,6,6,40,60,26,34,5,5,3,18009.5254,19289.785
19/12/17,9,4,18,100,19,10,9,42,84,13,31,6,9,4,18440.2234,18961.85667
20/12/17,25,10,23,194,22,13,10,95,128,56,69,13,10,14,18651.86733,17737.11167
21/12/17,19,10,64,179,33,14,7,79,139,46,75,11,18,11,18302.74167,16026.27167
22/12/17,4,4,62,155,25,2,6,74,126,57,62,5,13,14,17612.507,16047.51
23/12/17,12,2,128,152,34,9,40,57,127,42,63,4,10,13,16792.739,15190.945
24/12/17,5,10,179,164,26,13,21,68,133,50,73,10,19,9,16072.42,15360.26167
25/12/17,4,2,6,62,5,3,2,17,33,17,18,4,4,9,15314.83267,13949.175
26/12/17,1,5,14,54,5,10,6,24,44,15,18,6,3,1,14933.384,14119.02833
27/12/17,5,1,36,54,9,7,6,25,67,11,33,12,7,6,14923.69167,15999.04833
28/12/17,7,3,126,107,34,11,6,45,103,33,45,17,20,6,15003.367,15589.32167
29/12/17,8,12,113,131,30,7,11,46,115,55,103,13,11,7,14807.431,14380.58167
30/12/17,6,4,22,55,10,14,7,26,71,10,27,6,8,4,14945.624,14640.14
31/12/17,1,6,79,85,17,12,3,49,81,22,46,5,5,7,14764.93313,13215.574
1/1/18,1,2,97,50,5,4,6,25,46,14,26,0,7,9,14398.23847,14165.575
2/1/18,12,7,91,131,26,5,9,73,115,29,60,9,11,8,14042.81147,13812.18667
3/1/18,7,14,89,113,24,24,7,54,88,27,53,5,16,4,14167.86647,15005.85667
4/1/18,4,2,47,87,14,29,5,38,71,19,30,11,8,3,14250.4908,15053.26167
5/1/18,13,9,33,118,14,14,5,54,99,33,46,13,9,8,14647.247,15199.355
6/1/18,9,2,122,91,18,16,1,20,75,17,28,2,5,8,15248.956,17174.12
7/1/18,7,6,36,79,6,9,4,38,63,28,34,8,6,5,15950.35827,17319.198
8/1/18,10,1,107,117,26,9,9,51,99,33,41,9,7,7,16279.48127,16651.47167
9/1/18,10,6,26,58,8,6,2,28,49,18,21,3,5,4,16322.01027,15265.90667
10/1/18,16,7,43,77,10,3,3,37,59,17,27,6,9,9,16224.98993,14714.25333
11/1/18,7,3,128,119,25,9,9,48,91,22,53,2,10,5,15815.4456,15126.39833
12/1/18,4,3,28,44,9,5,5,28,39,19,23,8,2,4,15010.9648,13296.794
13/1/18,15,10,149,121,35,15,7,66,112,46,73,14,15,6,14463.24687,13912.882
14/1/18,0,5,19,62,10,7,6,32,40,17,32,2,4,2,14310.0202,14499.77333
15/1/18,4,4,38,73,16,2,5,42,45,23,36,6,11,4,14137.75353,13852.92
16/1/18,6,6,9,57,14,7,4,28,63,24,37,6,6,5,13914.91307,14012.196
17/1/18,12,2,25,71,8,8,4,28,39,11,23,9,9,2,13491.75393,11180.99833
18/1/18,3,17,59,85,24,9,5,56,67,29,45,6,12,6,12932.56687,11116.94667
19/1/18,2,2,20,44,11,5,5,19,21,16,19,2,5,1,12301.69687,11345.42333
20/1/18,2,2,20,30,7,1,2,10,20,0,16,1,1,0,11815.60087,11422.44
21/1/18,3,2,96,67,7,4,4,23,48,24,49,0,8,1,11603.32033,12950.79333
22/1/18,8,2,121,80,18,10,6,31,64,20,30,1,6,3,11668.16627,11505.228
23/1/18,2,4,108,77,21,7,8,21,45,16,29,5,5,1,11553.6956,10544.59333
24/1/18,10,7,40,103,14,4,6,49,66,21,40,4,3,9,11529.22373,11223.064
25/1/18,11,10,405,180,26,11,17,74,137,53,119,9,9,10,11501.1874,11282.25833
26/1/18,2,7,75,40,12,6,20,13,29,14,19,1,3,4,11153.91673,11214.44
27/1/18,7,1,31,29,14,3,0,22,25,8,17,3,2,2,11046.83413,10969.815
28/1/18,9,5,29,70,12,9,2,32,63,12,35,6,7,6,11242.8708,11524.77667
29/1/18,4,3,12,42,18,2,10,40,43,11,16,1,4,6,11351.4,11765.71
30/1/18,6,2,30,67,16,4,5,31,48,28,30,2,7,7,11337.47933,11212.655
31/1/18,4,3,218,84,18,3,5,29,59,22,37,5,5,6,11131.40367,10184.06167
1/2/18,10,4,19,74,15,4,8,33,62,7,27,2,4,5,10962.44333,10125.01333
2/2/18,4,0,7,41,13,5,1,26,34,17,14,5,3,3,10474.13967,9083.258333
3/2/18,6,2,7,47,13,3,4,12,42,9,14,5,2,4,9901.378,8901.901667
4/2/18,3,2,3,46,10,15,1,21,35,19,17,6,2,6,9474.182667,9076.678333
5/2/18,9,5,19,79,17,22,7,27,65,24,22,9,7,11,9117.499999,8400.648333
6/2/18,9,10,23,85,39,12,5,25,68,19,39,6,9,6,8460.260667,6838.816667
7/2/18,6,4,18,30,13,5,6,11,29,12,19,3,4,1,8180.735667,7685.633333
8/2/18,4,5,48,66,17,17,2,43,76,12,43,6,13,7,8020.347,8099.958333
9/2/18,8,2,66,67,30,8,11,40,66,25,42,9,7,3,7853.118667,8240.536667
10/2/18,7,3,9,67,13,5,5,32,49,9,35,8,4,8,7880.092333,8535.516667
11/2/18,3,4,24,35,11,7,3,15,36,15,20,1,2,1,8176.304313,8319.876566
12/2/18,5,1,14,62,20,6,4,48,68,27,26,7,9,9,8307.868647,8343.455
13/2/18,5,2,47,55,12,2,3,18,44,14,24,5,3,2,8450.145647,8811.343333
14/2/18,6,1,12,53,13,4,2,31,61,17,41,5,5,7,8521.591813,8597.7675
15/2/18,17,7,192,139,18,5,10,44,122,39,96,5,13,7,8681.415146,9334.633333
16/2/18,3,3,87,48,19,0,3,20,36,10,38,3,8,2,9012.870633,9977.154
17/2/18,5,8,8,39,9,4,4,16,29,7,15,1,5,1,9369.611967,10127.16167
18/2/18,0,7,0,45,11,2,2,35,50,12,17,1,5,2,9775.741635,10841.99167
19/2/18,1,0,10,20,17,2,1,11,25,9,12,3,1,5,10156.8478,10503.29833
20/2/18,0,5,1,23,7,4,6,24,28,7,15,3,4,6,10512.11413,11110.965
21/2/18,3,2,29,50,17,2,2,18,45,12,27,3,2,4,10794.76167,11390.39167
22/2/18,7,2,43,58,11,13,1,27,45,12,29,3,7,14,10875.88767,10532.79167
23/2/18,6,3,9,37,6,2,1,22,45,8,23,3,15,4,10693.70367,9931.071667
24/2/18,5,2,0,40,6,3,3,33,32,9,15,6,8,3,10625.46734,10162.11667
25/2/18,3,2,51,48,10,4,4,13,34,15,19,5,4,2,10342.86554,9697.956
26/2/18,4,2,11,47,14,11,5,30,43,21,20,2,5,5,10004.10587,9696.593333
27/2/18,7,4,106,77,20,9,8,23,65,23,34,5,6,5,9967.2682,10348.60333
28/2/18,6,8,158,93,21,6,7,19,63,15,37,3,4,12,10133.83053,10763.88333
1/3/18,5,1,40,23,2,0,5,16,27,7,15,4,1,5,10175.4402,10370.165
2/3/18,3,3,70,50,13,8,8,26,56,15,30,9,3,6,10437.72533,11009.38167
3/3/18,5,1,35,35,7,5,3,16,34,7,26,3,7,1,10709.56967,11055.815
4/3/18,0,3,8,24,4,4,6,8,21,3,12,1,1,1,10905.23867,11326.94833
5/3/18,6,1,78,39,22,7,5,27,49,15,32,1,6,6,11038.49833,11430.18167
6/3/18,5,6,127,67,19,11,14,36,85,13,42,7,2,1,11283.57333,11595.54
7/3/18,4,6,58,86,18,6,6,33,39,10,32,7,8,3,11234.33667,10763.19833
8/3/18,4,6,16,30,12,2,7,19,24,2,7,0,5,3,11046.78527,10118.058
9/3/18,6,3,11,37,12,2,8,17,40,7,23,2,2,0,10667.21793,9429.111667
10/3/18,2,1,12,22,3,3,3,11,23,4,10,1,1,2,10199.03727,9089.278333
11/3/18,5,1,1,20,3,9,2,17,36,6,7,5,0,4,9629.129666,8746.002
12/3/18,3,2,21,35,17,6,5,22,37,9,19,4,12,1,9428.769333,9761.396667
