Date,Value,5 day MA,Topic2,Topic6,Topic8,Topic9,Topic13,Topic14,Topic22,Topic23,Topic29,Topic36,Topic54,Topic58,Topic66,Topic67,Topic69,Topic85
43045.00,7377.0124,6951.44708,5,4,11,2,46,5,5,7,32,39,2,8,15,3,4,15
43046.00,6989.0717,7149.12052,6,10,13,1,43,4,5,19,24,39,4,11,24,2,7,14
43047.00,7092.1272,7213.87352,4,2,56,16,70,4,7,15,25,68,13,17,26,4,11,27
43048.00,7415.8783,7218.69494,1,1,2,9,35,6,1,2,17,27,2,14,18,1,2,15
43049.00,7158.0371,7262.32658,4,1,1,4,59,7,3,7,34,56,4,27,28,3,3,25
43050.00,6719.3979,7206.42534,8,7,54,11,63,6,3,7,34,65,4,22,43,6,8,25
43051.00,6362.851,7074.90244,7,8,94,11,112,7,6,7,60,103,11,27,55,6,11,41
43052.00,5716.3016,6949.6583,7,2,37,9,63,12,4,5,31,47,9,21,40,10,1,18
43053.00,6550.2275,6674.49318,2,3,23,5,58,4,9,6,29,54,6,14,24,6,11,19
43054.00,6635.4126,6501.36302,6,5,16,8,77,5,4,10,34,48,5,14,33,6,4,32
43055.00,7301.4299,6396.83812,5,3,41,6,53,3,4,3,19,40,3,15,33,2,10,40
43056.00,7815.0307,6513.24452,7,3,8,6,44,8,0,3,37,47,6,19,18,0,6,17
43057.00,7786.8844,6803.68046,6,1,24,2,35,7,1,2,25,28,4,2,11,4,1,14
43058.00,7817.1404,7217.79702,2,4,5,2,30,7,1,2,15,21,3,7,15,3,2,10
43059.00,8007.6541,7471.1796,2,1,16,6,42,7,10,7,32,49,5,12,18,4,6,25
43060.00,8255.5968,7745.6279,5,3,7,7,46,6,2,2,23,25,7,9,11,4,2,10
43061.00,8059.8,7936.46128,0,4,1,6,42,6,8,5,27,34,3,18,19,2,6,14
43062.00,8268.035,7985.41514,5,4,14,6,46,4,2,3,16,32,6,14,21,3,2,13
43063.00,8148.95,8081.64526,3,5,32,4,44,3,2,4,25,47,5,21,16,3,5,33
43064.00,8250.9783,8148.00718,4,4,8,4,50,3,6,2,23,35,4,19,16,5,4,17
43065.00,8707.4073,8196.67202,2,2,2,9,39,2,7,0,34,30,3,13,19,3,6,19
43066.00,9284.1438,8287.03412,2,4,17,6,48,2,2,8,23,33,3,8,12,10,5,16
43067.00,9718.2951,8531.90288,6,2,9,8,54,4,7,8,36,49,6,21,23,6,5,38
43068.00,9952.5088,8821.9549,8,13,8,9,57,14,7,7,29,66,6,17,28,2,8,34
43069.00,9879.3283,9182.66666,10,3,4,7,70,6,11,5,43,65,7,25,24,2,14,22
43070.00,10147.372,9508.33666,7,15,8,11,58,3,4,5,35,51,2,15,26,6,6,30
43071.00,10883.912,9796.3296,24,1,208,6,76,5,3,8,29,58,4,10,38,4,8,35
43072.00,11071.3683,10116.28324,8,6,44,3,67,4,1,8,33,75,4,17,27,2,6,39
43073.00,11332.622,10386.89788,8,11,13,5,59,7,9,2,41,53,3,21,22,7,9,23
43074.00,11584.83,10662.92052,4,8,54,3,75,9,8,7,36,70,7,21,29,11,10,36
43075.00,11878.4333,11004.02086,3,3,75,9,96,8,3,6,46,80,6,18,40,1,11,43
43076.00,13540.98,11350.23312,4,7,8,10,75,6,1,7,32,65,7,14,32,2,4,32
43077.00,16501.9717,11881.64672,5,4,8,5,56,8,6,4,28,35,10,12,16,5,5,21
43078.00,16007.4367,12967.7674,15,6,78,18,85,16,10,15,65,84,5,31,47,4,13,47
43079.00,15142.8342,13902.73034,5,12,68,8,82,8,11,4,63,83,8,22,46,5,7,50
43080.00,14869.805,14614.33118,6,2,44,12,63,7,7,6,42,57,7,9,27,3,5,26
43081.00,16762.1167,15212.60552,13,9,22,14,64,6,7,4,50,58,8,17,29,6,7,31
43082.00,17276.3933,15856.83286,8,1,42,15,63,8,7,6,38,66,6,13,23,10,4,34
43083.00,16808.3667,16011.71718,6,1,15,6,60,17,9,4,66,56,1,22,26,4,12,21
43084.00,16678.892,16171.90318,1,4,5,4,65,7,6,3,31,54,7,21,19,5,4,29
43085.00,17771.9,16479.11474,4,1,4,5,32,9,4,6,14,44,1,8,13,3,3,5
43086.00,19498.6833,17059.53374,10,16,50,9,123,7,13,7,54,107,22,39,67,6,12,57
43087.00,19289.785,17606.84706,3,2,25,9,78,4,6,6,40,60,8,26,34,5,5,42
43088.00,18961.8567,18009.5254,9,4,18,14,100,3,10,9,42,84,10,13,31,6,9,37
43089.00,17737.1117,18440.2234,25,10,23,13,194,12,13,10,95,128,11,56,69,13,10,78
43090.00,16026.2717,18651.86734,19,10,64,16,179,13,14,7,79,139,6,46,75,11,18,44
43091.00,16047.51,18302.74168,4,4,62,19,155,14,2,6,74,126,16,57,62,5,13,60
43092.00,15190.945,17612.50702,12,2,128,20,152,11,9,40,57,127,8,42,63,4,10,74
43093.00,15360.2617,16792.73902,5,10,179,20,164,9,13,21,68,133,14,50,73,10,19,54
43094.00,13949.175,16072.42002,4,2,6,2,62,4,3,2,17,33,3,17,18,4,4,13
43095.00,14119.0283,15314.83268,1,5,14,2,54,7,10,6,24,44,4,15,18,6,3,17
43096.00,15999.0483,14933.384,5,1,36,5,54,5,7,6,25,67,5,11,33,12,7,25
43097.00,15589.3217,14923.69166,7,3,126,8,107,7,11,6,45,103,13,33,45,17,20,52
43098.00,14380.5817,15003.367,8,12,113,14,131,13,7,11,46,115,11,55,103,13,11,93
43099.00,14640.14,14807.431,6,4,22,11,55,4,14,7,26,71,10,10,27,6,8,23
43100.00,13215.574,14945.624,1,6,79,7,85,5,12,3,49,81,9,22,46,5,5,40
43101.00,14165.575,14764.93314,1,2,97,3,50,5,4,6,25,46,6,14,26,0,7,26
43102.00,13812.1867,14398.23848,12,7,91,6,131,9,5,9,73,115,10,29,60,9,11,49
43103.00,15005.8567,14042.81148,7,14,89,17,113,13,24,7,54,88,12,27,53,5,16,44
43104.00,15053.2617,14167.86648,4,2,47,5,87,0,29,5,38,71,6,19,30,11,8,34
43105.00,15199.355,14250.49082,13,9,33,9,118,4,14,5,54,99,5,33,46,13,9,51
43106.00,17174.12,14647.24702,9,2,122,10,91,4,16,1,20,75,9,17,28,2,5,39
43107.00,17319.198,15248.95602,7,6,36,6,79,9,9,4,38,63,6,28,34,8,6,25
43108.00,16651.4717,15950.35828,10,1,107,12,117,9,9,9,51,99,19,33,41,9,7,50
43109.00,15265.9067,16279.48128,10,6,26,8,58,2,6,2,28,49,3,18,21,3,5,34
43110.00,14714.2533,16322.01028,16,7,43,14,77,6,3,3,37,59,7,17,27,6,9,38
43111.00,15126.3983,16224.98994,7,3,128,10,119,8,9,9,48,91,15,22,53,2,10,47
43112.00,13296.794,15815.4456,4,3,28,7,44,1,5,5,28,39,10,19,23,8,2,23
43113.00,13912.882,15010.9648,15,10,149,16,121,8,15,7,66,112,13,46,73,14,15,108
43114.00,14499.7733,14463.24686,0,5,19,11,62,6,7,6,32,40,4,17,32,2,4,19
43115.00,13852.92,14310.02018,4,4,38,11,73,5,2,5,42,45,6,23,36,6,11,35
43116.00,14012.196,14137.75352,6,6,9,17,57,11,7,4,28,63,13,24,37,6,6,36
43117.00,11180.9983,13914.91306,12,2,25,12,71,2,8,4,28,39,5,11,23,9,9,28
43118.00,11116.9467,13491.75392,3,17,59,8,85,3,9,5,56,67,7,29,45,6,12,40
43119.00,11345.4233,12932.56686,2,2,20,11,44,15,5,5,19,21,10,16,19,2,5,22
43120.00,11422.44,12301.69686,2,2,20,2,30,6,1,2,10,20,3,0,16,1,1,8
43121.00,12950.7933,11815.60086,3,2,96,11,67,7,4,4,23,48,8,24,49,0,8,27
43122.00,11505.228,11603.32032,8,2,121,9,80,7,10,6,31,64,4,20,30,1,6,46
43123.00,10544.5933,11668.16626,2,4,108,5,77,1,7,8,21,45,5,16,29,5,5,30
43124.00,11223.064,11553.69558,10,7,40,11,103,6,4,6,49,66,6,21,40,4,3,33
43125.00,11282.2583,11529.22372,11,10,405,24,180,7,11,17,74,137,16,53,119,9,9,84
43126.00,11214.44,11501.18738,2,7,75,4,40,13,6,20,13,29,7,14,19,1,3,27
43127.00,10969.815,11153.91672,7,1,31,3,29,5,3,0,22,25,4,8,17,3,2,16
43128.00,11524.7767,11046.83412,9,5,29,6,70,2,9,2,32,63,3,12,35,6,7,43
43129.00,11765.71,11242.8708,4,3,12,3,42,0,2,10,40,43,3,11,16,1,4,18
43130.00,11212.655,11351.4,6,2,30,8,67,4,4,5,31,48,4,28,30,2,7,24
43131.00,10184.0617,11337.47934,4,3,218,10,84,6,3,5,29,59,7,22,37,5,5,50
43132.00,10125.0133,11131.40368,10,4,19,4,74,4,4,8,33,62,10,7,27,2,4,15
43133.00,9083.2583,10962.44334,4,0,7,11,41,1,5,1,26,34,5,17,14,5,3,12
43134.00,8901.9017,10474.13966,6,2,7,4,47,3,3,4,12,42,3,9,14,5,2,17
43135.00,9076.6783,9901.378,3,2,3,5,46,1,15,1,21,35,10,19,17,6,2,14
43136.00,8400.6483,9474.18266,9,5,19,15,79,7,22,7,27,65,10,24,22,9,7,27
43137.00,6838.8167,9117.49998,9,10,23,9,85,11,12,5,25,68,6,19,39,6,9,37
43138.00,7685.6333,8460.26066,6,4,18,4,30,2,5,6,11,29,2,12,19,3,4,13
43139.00,8099.9583,8180.73566,4,5,48,9,66,4,17,2,43,76,12,12,43,6,13,40
43140.00,8240.5367,8020.34698,8,2,66,8,67,12,8,11,40,66,7,25,42,9,7,37
43141.00,8535.5167,7853.11866,7,3,9,7,67,6,5,5,32,49,5,9,35,8,4,24
43142.00,8319.8766,7880.09234,3,4,24,3,35,9,7,3,15,36,3,15,20,1,2,22
43143.00,8343.455,8176.30432,5,1,14,18,62,7,6,4,48,68,3,27,26,7,9,35
43144.00,8811.3433,8307.86866,5,2,47,10,55,5,2,3,18,44,3,14,24,5,3,19
43145.00,8597.7675,8450.14566,6,1,12,3,53,8,4,2,31,61,7,17,41,5,5,27
43146.00,9334.6333,8521.59182,17,7,192,14,139,6,5,10,44,122,8,39,96,5,13,100
43147.00,9977.154,8681.41514,3,3,87,4,48,4,0,3,20,36,3,10,38,3,8,24
43148.00,10127.1617,9012.87062,5,8,8,4,39,4,4,4,16,29,3,7,15,1,5,13
43149.00,10841.9917,9369.61196,0,7,0,9,45,8,2,2,35,50,5,12,17,1,5,9
43150.00,10503.2983,9775.74164,1,0,10,5,20,2,2,1,11,25,3,9,12,3,1,9
43151.00,11110.965,10156.8478,0,5,1,0,23,2,4,6,24,28,2,7,15,3,4,8
43152.00,11390.3917,10512.11414,3,2,29,7,50,6,2,2,18,45,7,12,27,3,2,22
43153.00,10532.7917,10794.76168,7,2,43,7,58,3,13,1,27,45,6,12,29,3,7,26
43154.00,9931.0717,10875.88768,6,3,9,5,37,12,2,1,22,45,3,8,23,3,15,21
43155.00,10162.1167,10693.70368,5,2,0,5,40,1,3,3,33,32,3,9,15,6,8,9
43156.00,9697.956,10625.46736,3,2,51,6,48,1,4,4,13,34,1,15,19,5,4,18
43157.00,9696.5933,10342.86556,4,2,11,13,47,4,11,5,30,43,3,21,20,2,5,17
43158.00,10348.6033,10004.10588,7,4,106,7,77,2,9,8,23,65,12,23,34,5,6,51
43159.00,10763.8833,9967.2682,6,8,158,5,93,6,6,7,19,63,10,15,37,3,4,43
43160.00,10370.165,10133.83052,5,1,40,5,23,1,0,5,16,27,3,7,15,4,1,19
43161.00,11009.3817,10175.44018,3,3,70,8,50,7,8,8,26,56,4,15,30,9,3,30
43162.00,11055.815,10437.72532,5,1,35,1,35,3,5,3,16,34,6,7,26,3,7,16
43163.00,11326.9483,10709.56966,0,3,8,2,24,1,4,6,8,21,3,3,12,1,1,7
43164.00,11430.1817,10905.23866,6,1,78,2,39,2,7,5,27,49,2,15,32,1,6,31
43165.00,11595.54,11038.49834,5,6,127,8,67,9,11,14,36,85,14,13,42,7,2,42
43166.00,10763.1983,11283.57334,4,6,58,11,86,5,6,6,33,39,5,10,32,7,8,31
43167.00,10118.058,11234.33666,4,6,16,2,30,4,2,7,19,24,4,2,7,0,5,11
43168.00,9429.1117,11046.78526,6,3,11,4,37,4,2,8,17,40,2,7,23,2,2,14
43169.00,9089.2783,10667.21794,2,1,12,4,22,1,3,3,11,23,6,4,10,1,1,7
43170.00,8746.002,10199.03726,5,1,1,6,20,4,9,2,17,36,1,6,7,5,0,10
43171.00,9761.3967,9629.12966,3,2,21,7,35,1,6,5,22,37,7,9,19,4,12,19
43172.00,9182.8433,9428.76934,6,6,17,6,41,4,2,8,28,45,3,11,13,5,3,13
43173.00,9154.7,9241.7264,8,8,94,10,82,2,10,5,27,65,7,33,50,4,7,45
43174.00,8151.5317,9186.84406,3,6,3,14,67,12,6,9,42,53,5,29,47,6,7,22
43175.00,8358.1217,8999.29474,2,4,81,8,69,4,3,4,40,58,4,19,27,2,6,29
43176.00,8530.402,8921.71868,6,6,30,2,62,4,7,0,26,41,3,23,24,3,5,21
43177.00,7993.6746,8675.51974,18,9,167,15,162,11,6,8,51,109,7,36,63,8,7,87
43178.00,8171.415,8437.686,3,0,55,6,46,3,5,9,28,53,2,12,22,2,3,21
43179.00,8412.0333,8241.029,4,4,2,5,55,5,1,3,28,49,4,7,13,2,7,14
43180.00,8986.9483,8293.12932,1,4,26,8,38,4,5,1,15,41,10,10,23,4,3,18
43181.00,8947.7533,8418.89464,2,3,15,6,36,2,4,6,26,52,3,15,16,2,5,17
43182.00,8690.4083,8502.3649,1,5,71,2,47,8,5,2,20,38,6,13,31,2,4,32
43183.00,8686.8267,8641.71164,3,1,132,1,91,3,7,5,30,64,19,25,78,5,8,51
43184.00,8662.3783,8744.79398,0,4,96,3,68,5,8,1,19,60,2,26,52,2,3,41
43185.00,8617.2967,8794.86298,2,9,141,5,80,7,7,6,31,91,12,18,34,4,17,51
43186.00,8197.5483,8720.93266,4,5,46,13,80,4,4,10,38,66,6,15,44,4,6,30
43187.00,7876.195,8570.89166,7,6,34,6,65,3,5,5,42,45,3,19,26,2,7,28
43188.00,7960.38,8408.049,11,10,105,14,101,7,9,6,27,69,8,18,46,7,8,32
43189.00,7172.28,8262.75966,8,8,68,9,70,7,8,4,35,47,10,18,37,3,4,28
43190.00,6882.5317,7964.74,11,6,166,8,120,3,6,8,37,71,11,15,59,15,7,65
43191.00,6935.48,7617.787,9,5,123,12,96,2,8,6,33,80,10,29,49,4,10,49
43192.00,6794.105,7365.37334,8,5,122,10,71,2,10,4,30,53,6,24,34,8,13,39
43193.00,7035.8483,7148.95534,0,3,111,11,89,9,10,4,36,90,7,24,52,8,11,37
43194.00,7410.435,6964.049,4,2,19,4,26,5,3,2,17,32,2,11,16,3,4,11
43195.00,6787.7617,7011.68,4,4,2,10,41,2,7,4,36,38,2,15,23,0,6,16
43196.00,6826.51,6992.726,1,0,1,1,23,2,6,7,12,27,3,7,8,2,1,4
43197.00,6603.8767,6970.932,7,5,7,5,34,0,3,1,22,35,2,11,11,3,4,12
43198.00,6927.688,6932.88634,3,4,6,6,42,2,4,3,23,47,5,10,15,1,5,14
43199.00,7017.6567,6911.25428,2,2,5,6,19,3,8,5,14,24,3,8,5,4,1,10
43200.00,6699.2733,6832.69862,3,5,46,6,49,4,4,7,24,45,4,14,21,1,5,26
43201.00,6787.5717,6815.00094,4,0,3,6,47,4,1,3,27,32,4,15,21,4,5,18
43202.00,6926.2667,6807.21328,4,4,5,5,36,1,3,1,16,40,4,13,11,3,4,14
43203.00,7847.845,6871.69128,3,0,29,6,62,5,4,0,19,47,8,15,28,8,5,34
43204.00,7895.4083,7055.72268,2,1,60,6,65,3,5,3,19,47,9,13,29,7,3,45
43205.00,8036.5111,7231.273,5,4,131,19,70,4,5,6,32,54,24,21,37,4,8,57
43206.00,8340.7483,7498.72056,4,3,68,7,49,1,7,5,32,41,14,11,26,2,6,27
43207.00,8043.8033,7809.35588,2,4,95,6,61,2,8,8,21,49,5,22,43,1,5,41
43208.00,7895.4169,8032.8632,1,5,72,5,58,2,2,7,21,41,5,12,32,6,5,29
43209.00,8164.9374,8042.37758,4,5,35,4,52,0,6,8,27,31,8,14,16,4,5,32
43210.00,8254.625,8096.2834,6,1,1,1,17,1,2,1,13,14,0,5,15,2,5,7
43211.00,8852.7183,8139.90618,2,1,18,5,36,6,5,1,12,35,1,15,17,4,5,15
43212.00,8807.205,8242.30018,1,1,34,2,37,3,1,3,13,35,4,9,18,2,4,14
43213.00,8838.5483,8394.98052,2,1,7,1,20,0,1,2,14,29,3,12,9,2,2,6
43214.00,8933.8617,8583.6068,3,5,53,7,73,2,10,7,36,52,8,14,32,3,3,37
43215.00,9555.542,8737.39166,3,3,66,9,44,3,7,4,26,48,9,15,34,11,3,32
43216.00,8995.5067,8997.57506,7,3,76,6,47,5,3,4,20,48,5,13,31,3,0,32
43217.00,9258.3983,9026.13274,4,2,39,8,59,6,7,2,35,39,9,24,30,4,11,49
43218.00,9010.32,9116.3714,2,3,75,7,59,2,5,1,13,42,3,9,32,5,7,33
43219.00,9326.1733,9150.72574,7,1,67,8,45,1,6,3,14,40,3,18,19,3,2,30
43220.00,9334.2817,9229.18806,2,3,6,1,28,5,0,2,19,23,4,10,12,3,6,7
43221.00,9259.57,9184.936,3,3,3,5,43,7,6,5,37,40,3,10,15,4,3,19
43222.00,9075.1367,9237.74866,4,2,119,7,91,5,7,5,46,73,8,33,46,8,6,39
43223.00,9221.426,9201.09634,3,4,1,1,31,4,4,6,20,41,1,10,15,1,3,24
43224.00,9639.2683,9243.31754,2,2,57,7,53,7,8,3,29,53,5,27,41,4,4,29
43225.00,9710.73,9305.93654,4,6,52,2,47,1,4,4,31,36,0,10,34,1,3,17
43226.00,9803.3067,9381.2262,7,2,98,9,92,9,1,7,36,63,7,23,48,2,9,62
43227.00,9630.1363,9489.97354,4,2,37,4,67,3,5,6,20,45,6,21,29,7,5,33
43228.00,9345.69,9600.97346,6,8,26,6,87,10,12,7,52,106,8,28,41,5,6,32
43229.00,9228.6083,9625.82626,7,5,38,13,64,5,2,4,34,60,4,16,20,7,8,31
43230.00,9322.0417,9543.69426,4,7,71,5,61,4,2,1,20,46,4,12,32,6,1,23
43231.00,9101.4833,9465.9566,7,3,50,13,66,3,4,1,25,58,4,22,28,7,5,36
43232.00,8468.788,9325.59192,3,6,10,3,23,2,3,2,18,14,0,3,11,2,1,5
43233.00,8484.3467,9093.32226,11,3,33,6,75,4,2,4,33,45,4,10,25,3,9,41
43234.00,8727.6517,8921.0536,8,8,384,18,186,8,8,15,38,127,13,56,93,4,6,125
43235.00,8652.0383,8820.86228,7,5,54,4,74,8,7,4,30,32,11,15,35,4,3,33
43236.00,8511.458,8686.8616,6,5,12,7,34,3,5,7,23,46,2,20,12,3,2,15
43237.00,8340.7033,8568.85654,4,2,14,2,23,2,2,0,11,27,4,9,8,4,1,17
43238.00,8106.1183,8543.2396,1,1,11,8,31,2,1,2,41,41,8,13,21,1,4,19
43239.00,8240.055,8467.59392,2,1,0,4,15,3,0,3,10,26,3,7,4,0,1,12
43240.00,8223.2883,8370.07458,4,2,59,3,41,1,6,3,19,46,2,9,19,1,0,24
43241.00,8507.4067,8284.32458,1,0,18,4,27,0,2,1,10,40,4,7,17,1,1,8
43242.00,8385.5562,8283.51432,5,2,3,10,41,9,11,1,41,50,8,8,28,4,8,27
43243.00,8015.58,8292.4849,1,6,7,7,64,8,6,4,23,59,8,24,35,11,6,36
43244.00,7555.74,8274.37724,2,1,10,3,35,5,2,3,27,40,3,18,14,1,5,15
43245.00,7566.1933,8137.51424,3,1,45,8,43,4,3,3,24,50,5,21,38,0,4,32
43246.00,7445.2383,8006.09524,9,5,35,5,57,3,3,0,28,54,5,17,27,2,3,22
43247.00,7342.9083,7793.66156,2,6,5,9,31,1,4,5,28,55,5,12,14,1,6,23
43248.00,7361.8317,7585.13198,7,7,20,5,55,5,6,6,34,51,4,10,25,5,10,21
43249.00,7130.5417,7454.38232,7,2,82,6,59,8,2,4,27,60,8,14,43,8,9,38
43250.00,7459.8767,7369.34266,7,17,56,11,79,2,1,7,35,61,4,21,44,6,10,47
43251.00,7385.395,7348.07934,1,2,9,3,27,6,6,8,24,30,2,5,16,3,1,16
43252.00,7491.434,7336.11068,1,4,45,6,51,2,8,4,36,44,3,19,34,6,3,11
43253.00,7535.1467,7365.81582,5,4,47,4,30,2,3,3,15,43,7,12,27,7,4,34
43254.00,7645.1467,7400.47882,2,3,8,4,29,0,3,0,11,27,1,8,8,1,0,14
43255.00,7699.886,7503.39982,1,1,17,7,38,0,2,4,17,17,3,13,17,2,4,14
43256.00,7500.2733,7551.40168,1,6,45,6,46,5,1,1,22,42,4,14,23,1,1,24
43257.00,7615.7221,7574.37734,1,2,14,9,65,1,4,3,24,31,2,16,14,5,6,16
43258.00,7655.6133,7599.23496,0,2,3,3,26,4,0,0,9,21,3,4,6,3,1,2
43259.00,7676.2717,7623.32828,3,1,5,7,52,2,7,10,25,52,5,18,24,1,3,21
43260.00,7620.1533,7629.55328,2,2,8,4,34,2,1,3,19,28,13,6,11,3,5,18
43261.00,7564.4083,7613.60674,8,5,35,7,66,4,6,3,21,60,3,14,29,4,4,24
43262.00,6776.8883,7626.43374,3,5,40,13,81,6,10,6,25,69,8,14,31,3,3,39
43263.00,6875.6783,7458.66698,4,7,57,8,122,11,4,3,77,85,5,40,42,10,11,65
43264.00,6535.0817,7302.67998,2,5,12,10,82,4,7,4,80,78,4,29,34,6,12,43
43265.00,6315.7,7074.44198,8,1,11,7,54,6,4,5,35,52,3,9,24,4,8,26
43266.00,6647.0133,6813.55132,5,1,2,7,54,7,8,14,39,48,5,33,23,5,12,28
43267.00,6434.088,6630.07232,0,3,5,2,33,1,1,1,16,39,2,6,14,14,1,13
43268.00,6509.4267,6561.51226,7,4,32,9,55,5,6,3,43,64,2,19,34,14,8,33
43269.00,6464.4117,6488.26194,4,2,7,4,66,7,5,2,32,36,2,9,22,2,4,18
43270.00,6713.488,6474.12794,6,6,2,3,68,7,7,5,45,63,5,22,25,8,8,32
43271.00,6737,6553.68554,2,6,16,4,49,2,3,7,25,41,7,11,16,10,3,17
43272.00,6714.7183,6571.68288,4,4,7,22,44,4,12,12,75,72,7,33,43,5,16,36
43273.00,6733.9017,6627.80894,4,3,2,5,31,0,1,5,24,38,8,8,22,5,4,17
43274.00,6332.5733,6672.70394,4,5,22,4,32,4,1,6,10,32,12,11,17,4,3,24
43275.00,6141.6058,6646.33626,1,1,35,4,55,6,9,2,40,51,12,23,33,1,6,20
43276.00,6037.0083,6531.95982,1,5,25,6,65,9,7,6,21,62,4,17,24,7,2,19
43277.00,6211.4475,6391.96148,2,5,1,5,24,7,0,1,21,29,3,12,16,3,2,13
43278.00,6218.595,6291.30732,3,1,27,0,32,7,2,1,22,29,6,14,23,1,6,21
