Date,Value,5 day MA,d2,d6,d8,d13,d17,d22,d23,d29,d36,d58,d66,d67,d69,d93
43041,6665.3067,6039.83108,3,7,105,103,21,7,7,58,84,34,33,7,8,5
43042,7068.0201,6218.39142,9,8,78,81,19,4,4,34,76,21,33,3,6,4
43043,7197.7201,6476.65604,3,2,24,45,20,10,3,20,61,9,23,2,5,4
43044,7437.5433,6685.11326,3,2,13,36,3,7,2,14,16,3,8,2,3,1
43045,7377.0124,6951.44708,5,4,11,46,9,5,7,32,39,8,15,3,4,1
43046,6989.0717,7149.12052,6,10,13,43,9,5,19,24,39,11,24,2,7,4
43047,7092.1272,7213.87352,4,2,56,70,19,7,15,25,68,17,26,4,11,7
43048,7415.8783,7218.69494,1,1,2,35,27,1,2,17,27,14,18,1,2,2
43049,7158.0371,7262.32658,4,1,1,59,14,3,7,34,56,27,28,3,3,1
43050,6719.3979,7206.42534,8,7,54,63,12,3,7,34,65,22,43,6,8,2
43051,6362.851,7074.90244,7,8,94,112,19,6,7,60,103,27,55,6,11,8
43052,5716.3016,6949.6583,7,2,37,63,43,4,5,31,47,21,40,10,1,5
43053,6550.2275,6674.49318,2,3,23,58,34,9,6,29,54,14,24,6,11,2
43054,6635.4126,6501.36302,6,5,16,77,15,4,10,34,48,14,33,6,4,2
43055,7301.4299,6396.83812,5,3,41,53,18,4,3,19,40,15,33,2,10,4
43056,7815.0307,6513.24452,7,3,8,44,7,0,3,37,47,19,18,0,6,7
43057,7786.8844,6803.68046,6,1,24,35,3,1,2,25,28,2,11,4,1,1
43058,7817.1404,7217.79702,2,4,5,30,5,1,2,15,21,7,15,3,2,2
43059,8007.6541,7471.1796,2,1,16,42,13,10,7,32,49,12,18,4,6,3
43060,8255.5968,7745.6279,5,3,7,46,7,2,2,23,25,9,11,4,2,4
43061,8059.8,7936.46128,0,4,1,42,17,8,5,27,34,18,19,2,6,3
43062,8268.035,7985.41514,5,4,14,46,13,2,3,16,32,14,21,3,2,4
43063,8148.95,8081.64526,3,5,32,44,8,2,4,25,47,21,16,3,5,4
43064,8250.9783,8148.00718,4,4,8,50,6,6,2,23,35,19,16,5,4,2
43065,8707.4073,8196.67202,2,2,2,39,18,7,0,34,30,13,19,3,6,4
43066,9284.1438,8287.03412,2,4,17,48,16,2,8,23,33,8,12,10,5,5
43067,9718.2951,8531.90288,6,2,9,54,27,7,8,36,49,21,23,6,5,11
43068,9952.5088,8821.9549,8,13,8,57,10,7,7,29,66,17,28,2,8,12
43069,9879.3283,9182.66666,10,3,4,70,11,11,5,43,65,25,24,2,14,8
43070,10147.372,9508.33666,7,15,8,58,18,4,5,35,51,15,26,6,6,7
43071,10883.912,9796.3296,24,1,208,76,5,3,8,29,58,10,38,4,8,7
43072,11071.3683,10116.28324,8,6,44,67,15,1,8,33,75,17,27,2,6,10
43073,11332.622,10386.89788,8,11,13,59,9,9,2,41,53,21,22,7,9,9
43074,11584.83,10662.92052,4,8,54,75,19,8,7,36,70,21,29,11,10,7
43075,11878.4333,11004.02086,3,3,75,96,30,3,6,46,80,18,40,1,11,4
43076,13540.98,11350.23312,4,7,8,75,17,1,7,32,65,14,32,2,4,3
43077,16501.9717,11881.64672,5,4,8,56,16,6,4,28,35,12,16,5,5,8
43078,16007.4367,12967.7674,15,6,78,85,22,10,15,65,84,31,47,4,13,8
43079,15142.8342,13902.73034,5,12,68,82,17,11,4,63,83,22,46,5,7,5
43080,14869.805,14614.33118,6,2,44,63,19,7,6,42,57,9,27,3,5,7
43081,16762.1167,15212.60552,13,9,22,64,16,7,4,50,58,17,29,6,7,4
43082,17276.3933,15856.83286,8,1,42,63,22,7,6,38,66,13,23,10,4,6
43083,16808.3667,16011.71718,6,1,15,60,14,9,4,66,56,22,26,4,12,8
43084,16678.892,16171.90318,1,4,5,65,11,6,3,31,54,21,19,5,4,5
43085,17771.9,16479.11474,4,1,4,32,5,4,6,14,44,8,13,3,3,6
43086,19498.6833,17059.53374,10,16,50,123,15,13,7,54,107,39,67,6,12,19
43087,19289.785,17606.84706,3,2,25,78,12,6,6,40,60,26,34,5,5,3
43088,18961.8567,18009.5254,9,4,18,100,19,10,9,42,84,13,31,6,9,4
43089,17737.1117,18440.2234,25,10,23,194,22,13,10,95,128,56,69,13,10,14
43090,16026.2717,18651.86734,19,10,64,179,33,14,7,79,139,46,75,11,18,11
43091,16047.51,18302.74168,4,4,62,155,25,2,6,74,126,57,62,5,13,14
43092,15190.945,17612.50702,12,2,128,152,34,9,40,57,127,42,63,4,10,13
43093,15360.2617,16792.73902,5,10,179,164,26,13,21,68,133,50,73,10,19,9
43094,13949.175,16072.42002,4,2,6,62,5,3,2,17,33,17,18,4,4,9
43095,14119.0283,15314.83268,1,5,14,54,5,10,6,24,44,15,18,6,3,1
43096,15999.0483,14933.384,5,1,36,54,9,7,6,25,67,11,33,12,7,6
43097,15589.3217,14923.69166,7,3,126,107,34,11,6,45,103,33,45,17,20,6
43098,14380.5817,15003.367,8,12,113,131,30,7,11,46,115,55,103,13,11,7
43099,14640.14,14807.431,6,4,22,55,10,14,7,26,71,10,27,6,8,4
43100,13215.574,14945.624,1,6,79,85,17,12,3,49,81,22,46,5,5,7
43101,14165.575,14764.93314,1,2,97,50,5,4,6,25,46,14,26,0,7,9
43102,13812.1867,14398.23848,12,7,91,131,26,5,9,73,115,29,60,9,11,8
43103,15005.8567,14042.81148,7,14,89,113,24,24,7,54,88,27,53,5,16,4
43104,15053.2617,14167.86648,4,2,47,87,14,29,5,38,71,19,30,11,8,3
43105,15199.355,14250.49082,13,9,33,118,14,14,5,54,99,33,46,13,9,8
43106,17174.12,14647.24702,9,2,122,91,18,16,1,20,75,17,28,2,5,8
43107,17319.198,15248.95602,7,6,36,79,6,9,4,38,63,28,34,8,6,5
43108,16651.4717,15950.35828,10,1,107,117,26,9,9,51,99,33,41,9,7,7
43109,15265.9067,16279.48128,10,6,26,58,8,6,2,28,49,18,21,3,5,4
43110,14714.2533,16322.01028,16,7,43,77,10,3,3,37,59,17,27,6,9,9
43111,15126.3983,16224.98994,7,3,128,119,25,9,9,48,91,22,53,2,10,5
43112,13296.794,15815.4456,4,3,28,44,9,5,5,28,39,19,23,8,2,4
43113,13912.882,15010.9648,15,10,149,121,35,15,7,66,112,46,73,14,15,6
43114,14499.7733,14463.24686,0,5,19,62,10,7,6,32,40,17,32,2,4,2
43115,13852.92,14310.02018,4,4,38,73,16,2,5,42,45,23,36,6,11,4
43116,14012.196,14137.75352,6,6,9,57,14,7,4,28,63,24,37,6,6,5
43117,11180.9983,13914.91306,12,2,25,71,8,8,4,28,39,11,23,9,9,2
43118,11116.9467,13491.75392,3,17,59,85,24,9,5,56,67,29,45,6,12,6
43119,11345.4233,12932.56686,2,2,20,44,11,5,5,19,21,16,19,2,5,1
43120,11422.44,12301.69686,2,2,20,30,7,1,2,10,20,0,16,1,1,0
43121,12950.7933,11815.60086,3,2,96,67,7,4,4,23,48,24,49,0,8,1
43122,11505.228,11603.32032,8,2,121,80,18,10,6,31,64,20,30,1,6,3
43123,10544.5933,11668.16626,2,4,108,77,21,7,8,21,45,16,29,5,5,1
43124,11223.064,11553.69558,10,7,40,103,14,4,6,49,66,21,40,4,3,9
43125,11282.2583,11529.22372,11,10,405,180,26,11,17,74,137,53,119,9,9,10
43126,11214.44,11501.18738,2,7,75,40,12,6,20,13,29,14,19,1,3,4
43127,10969.815,11153.91672,7,1,31,29,14,3,0,22,25,8,17,3,2,2
43128,11524.7767,11046.83412,9,5,29,70,12,9,2,32,63,12,35,6,7,6
43129,11765.71,11242.8708,4,3,12,42,18,2,10,40,43,11,16,1,4,6
43130,11212.655,11351.4,6,2,30,67,16,4,5,31,48,28,30,2,7,7
43131,10184.0617,11337.47934,4,3,218,84,18,3,5,29,59,22,37,5,5,6
43132,10125.0133,11131.40368,10,4,19,74,15,4,8,33,62,7,27,2,4,5
43133,9083.2583,10962.44334,4,0,7,41,13,5,1,26,34,17,14,5,3,3
43134,8901.9017,10474.13966,6,2,7,47,13,3,4,12,42,9,14,5,2,4
43135,9076.6783,9901.378,3,2,3,46,10,15,1,21,35,19,17,6,2,6
43136,8400.6483,9474.18266,9,5,19,79,17,22,7,27,65,24,22,9,7,11
43137,6838.8167,9117.49998,9,10,23,85,39,12,5,25,68,19,39,6,9,6
43138,7685.6333,8460.26066,6,4,18,30,13,5,6,11,29,12,19,3,4,1
43139,8099.9583,8180.73566,4,5,48,66,17,17,2,43,76,12,43,6,13,7
43140,8240.5367,8020.34698,8,2,66,67,30,8,11,40,66,25,42,9,7,3
43141,8535.5167,7853.11866,7,3,9,67,13,5,5,32,49,9,35,8,4,8
43142,8319.8766,7880.09234,3,4,24,35,11,7,3,15,36,15,20,1,2,1
43143,8343.455,8176.30432,5,1,14,62,20,6,4,48,68,27,26,7,9,9
43144,8811.3433,8307.86866,5,2,47,55,12,2,3,18,44,14,24,5,3,2
43145,8597.7675,8450.14566,6,1,12,53,13,4,2,31,61,17,41,5,5,7
43146,9334.6333,8521.59182,17,7,192,139,18,5,10,44,122,39,96,5,13,7
43147,9977.154,8681.41514,3,3,87,48,19,0,3,20,36,10,38,3,8,2
43148,10127.1617,9012.87062,5,8,8,39,9,4,4,16,29,7,15,1,5,1
43149,10841.9917,9369.61196,0,7,0,45,11,2,2,35,50,12,17,1,5,2
43150,10503.2983,9775.74164,1,0,10,20,17,2,1,11,25,9,12,3,1,5
43151,11110.965,10156.8478,0,5,1,23,7,4,6,24,28,7,15,3,4,6
43152,11390.3917,10512.11414,3,2,29,50,17,2,2,18,45,12,27,3,2,4
43153,10532.7917,10794.76168,7,2,43,58,11,13,1,27,45,12,29,3,7,14
43154,9931.0717,10875.88768,6,3,9,37,6,2,1,22,45,8,23,3,15,4
43155,10162.1167,10693.70368,5,2,0,40,6,3,3,33,32,9,15,6,8,3
43156,9697.956,10625.46736,3,2,51,48,10,4,4,13,34,15,19,5,4,2
43157,9696.5933,10342.86556,4,2,11,47,14,11,5,30,43,21,20,2,5,5
43158,10348.6033,10004.10588,7,4,106,77,20,9,8,23,65,23,34,5,6,5
43159,10763.8833,9967.2682,6,8,158,93,21,6,7,19,63,15,37,3,4,12
43160,10370.165,10133.83052,5,1,40,23,2,0,5,16,27,7,15,4,1,5
43161,11009.3817,10175.44018,3,3,70,50,13,8,8,26,56,15,30,9,3,6
43162,11055.815,10437.72532,5,1,35,35,7,5,3,16,34,7,26,3,7,1
43163,11326.9483,10709.56966,0,3,8,24,4,4,6,8,21,3,12,1,1,1
43164,11430.1817,10905.23866,6,1,78,39,22,7,5,27,49,15,32,1,6,6
43165,11595.54,11038.49834,5,6,127,67,19,11,14,36,85,13,42,7,2,1
43166,10763.1983,11283.57334,4,6,58,86,18,6,6,33,39,10,32,7,8,3
43167,10118.058,11234.33666,4,6,16,30,12,2,7,19,24,2,7,0,5,3
43168,9429.1117,11046.78526,6,3,11,37,12,2,8,17,40,7,23,2,2,0
43169,9089.2783,10667.21794,2,1,12,22,3,3,3,11,23,4,10,1,1,2
43170,8746.002,10199.03726,5,1,1,20,3,9,2,17,36,6,7,5,0,4
43171,9761.3967,9629.12966,3,2,21,35,17,6,5,22,37,9,19,4,12,1
43172,9182.8433,9428.76934,6,6,17,41,20,2,8,28,45,11,13,5,3,3
43173,9154.7,9241.7264,8,8,94,82,23,10,5,27,65,33,50,4,7,4
43174,8151.5317,9186.84406,3,6,3,67,16,6,9,42,53,29,47,6,7,4
43175,8358.1217,8999.29474,2,4,81,69,15,3,4,40,58,19,27,2,6,4
43176,8530.402,8921.71868,6,6,30,62,8,7,0,26,41,23,24,3,5,3
43177,7993.6746,8675.51974,18,9,167,162,15,6,8,51,109,36,63,8,7,9
43178,8171.415,8437.686,3,0,55,46,10,5,9,28,53,12,22,2,3,3
43179,8412.0333,8241.029,4,4,2,55,26,1,3,28,49,7,13,2,7,3
43180,8986.9483,8293.12932,1,4,26,38,12,5,1,15,41,10,23,4,3,2
43181,8947.7533,8418.89464,2,3,15,36,17,4,6,26,52,15,16,2,5,0
43182,8690.4083,8502.3649,1,5,71,47,9,5,2,20,38,13,31,2,4,2
43183,8686.8267,8641.71164,3,1,132,91,10,7,5,30,64,25,78,5,8,6
43184,8662.3783,8744.79398,0,4,96,68,7,8,1,19,60,26,52,2,3,5
43185,8617.2967,8794.86298,2,9,141,80,12,7,6,31,91,18,34,4,17,6
43186,8197.5483,8720.93266,4,5,46,80,11,4,10,38,66,15,44,4,6,10
43187,7876.195,8570.89166,7,6,34,65,20,5,5,42,45,19,26,2,7,5
43188,7960.38,8408.049,11,10,105,101,7,9,6,27,69,18,46,7,8,5
43189,7172.28,8262.75966,8,8,68,70,10,8,4,35,47,18,37,3,4,3
43190,6882.5317,7964.74,11,6,166,120,9,6,8,37,71,15,59,15,7,5
43191,6935.48,7617.787,9,5,123,96,9,8,6,33,80,29,49,4,10,6
43192,6794.105,7365.37334,8,5,122,71,24,10,4,30,53,24,34,8,13,4
43193,7035.8483,7148.95534,0,3,111,89,18,10,4,36,90,24,52,8,11,5
43194,7410.435,6964.049,4,2,19,26,13,3,2,17,32,11,16,3,4,3
43195,6787.7617,7011.68,4,4,2,41,10,7,4,36,38,15,23,0,6,3
43196,6826.51,6992.726,1,0,1,23,7,6,7,12,27,7,8,2,1,2
43197,6603.8767,6970.932,7,5,7,34,3,3,1,22,35,11,11,3,4,4
43198,6927.688,6932.88634,3,4,6,42,8,4,3,23,47,10,15,1,5,5
43199,7017.6567,6911.25428,2,2,5,19,14,8,5,14,24,8,5,4,1,0
43200,6699.2733,6832.69862,3,5,46,49,11,4,7,24,45,14,21,1,5,7
43201,6787.5717,6815.00094,4,0,3,47,4,1,3,27,32,15,21,4,5,6
43202,6926.2667,6807.21328,4,4,5,36,13,3,1,16,40,13,11,3,4,2
43203,7847.845,6871.69128,3,0,29,62,12,4,0,19,47,15,28,8,5,3
43204,7895.4083,7055.72268,2,1,60,65,7,5,3,19,47,13,29,7,3,3
43205,8036.5111,7231.273,5,4,131,70,25,5,6,32,54,21,37,4,8,5
43206,8340.7483,7498.72056,4,3,68,49,10,7,5,32,41,11,26,2,6,9
43207,8043.8033,7809.35588,2,4,95,61,14,8,8,21,49,22,43,1,5,5
43208,7895.4169,8032.8632,1,5,72,58,9,2,7,21,41,12,32,6,5,0
43209,8164.9374,8042.37758,4,5,35,52,10,6,8,27,31,14,16,4,5,0
43210,8254.625,8096.2834,6,1,1,17,6,2,1,13,14,5,15,2,5,1
43211,8852.7183,8139.90618,2,1,18,36,7,5,1,12,35,15,17,4,5,2
43212,8807.205,8242.30018,1,1,34,37,8,1,3,13,35,9,18,2,4,1
43213,8838.5483,8394.98052,2,1,7,20,9,1,2,14,29,12,9,2,2,1
43214,8933.8617,8583.6068,3,5,53,73,10,10,7,36,52,14,32,3,3,3
43215,9555.542,8737.39166,3,3,66,44,11,7,4,26,48,15,34,11,3,2
43216,8995.5067,8997.57506,7,3,76,47,5,3,4,20,48,13,31,3,0,0
43217,9258.3983,9026.13274,4,2,39,59,6,7,2,35,39,24,30,4,11,3
43218,9010.32,9116.3714,2,3,75,59,6,5,1,13,42,9,32,5,7,6
43219,9326.1733,9150.72574,7,1,67,45,14,6,3,14,40,18,19,3,2,8
43220,9334.2817,9229.18806,2,3,6,28,16,0,2,19,23,10,12,3,6,1
43221,9259.57,9184.936,3,3,3,43,17,6,5,37,40,10,15,4,3,1
43222,9075.1367,9237.74866,4,2,119,91,20,7,5,46,73,33,46,8,6,4
43223,9221.426,9201.09634,3,4,1,31,12,4,6,20,41,10,15,1,3,0
43224,9639.2683,9243.31754,2,2,57,53,21,8,3,29,53,27,41,4,4,1
43225,9710.73,9305.93654,4,6,52,47,10,4,4,31,36,10,34,1,3,1
43226,9803.3067,9381.2262,7,2,98,92,21,1,7,36,63,23,48,2,9,0
43227,9630.1363,9489.97354,4,2,37,67,17,5,6,20,45,21,29,7,5,5
43228,9345.69,9600.97346,6,8,26,87,24,12,7,52,106,28,41,5,6,6
43229,9228.6083,9625.82626,7,5,38,64,11,2,4,34,60,16,20,7,8,6
43230,9322.0417,9543.69426,4,7,71,61,13,2,1,20,46,12,32,6,1,5
43231,9101.4833,9465.9566,7,3,50,66,10,4,1,25,58,22,28,7,5,10
43232,8468.788,9325.59192,3,6,10,23,6,3,2,18,14,3,11,2,1,3
43233,8484.3467,9093.32226,11,3,33,75,12,2,4,33,45,10,25,3,9,3
43234,8727.6517,8921.0536,8,8,384,186,50,8,15,38,127,56,93,4,6,5
43235,8652.0383,8820.86228,7,5,54,74,21,7,4,30,32,15,35,4,3,3
43236,8511.458,8686.8616,6,5,12,34,9,5,7,23,46,20,12,3,2,2
43237,8340.7033,8568.85654,4,2,14,23,6,2,0,11,27,9,8,4,1,2
43238,8106.1183,8543.2396,1,1,11,31,10,1,2,41,41,13,21,1,4,6
43239,8240.055,8467.59392,2,1,0,15,2,0,3,10,26,7,4,0,1,3
43240,8223.2883,8370.07458,4,2,59,41,5,6,3,19,46,9,19,1,0,5
43241,8507.4067,8284.32458,1,0,18,27,11,2,1,10,40,7,17,1,1,1
43242,8385.5562,8283.51432,5,2,3,41,14,11,1,41,50,8,28,4,8,4
43243,8015.58,8292.4849,1,6,7,64,17,6,4,23,59,24,35,11,6,2
43244,7555.74,8274.37724,2,1,10,35,11,2,3,27,40,18,14,1,5,3
43245,7566.1933,8137.51424,3,1,45,43,16,3,3,24,50,21,38,0,4,5
43246,7445.2383,8006.09524,9,5,35,57,10,3,0,28,54,17,27,2,3,2
43247,7342.9083,7793.66156,2,6,5,31,9,4,5,28,55,12,14,1,6,3
43248,7361.8317,7585.13198,7,7,20,55,12,6,6,34,51,10,25,5,10,7
43249,7130.5417,7454.38232,7,2,82,59,15,2,4,27,60,14,43,8,9,8
43250,7459.8767,7369.34266,7,17,56,79,22,1,7,35,61,21,44,6,10,3
43251,7385.395,7348.07934,1,2,9,27,6,6,8,24,30,5,16,3,1,3
43252,7491.434,7336.11068,1,4,45,51,8,8,4,36,44,19,34,6,3,7
43253,7535.1467,7365.81582,5,4,47,30,9,3,3,15,43,12,27,7,4,2
43254,7645.1467,7400.47882,2,3,8,29,9,3,0,11,27,8,8,1,0,2
43255,7699.886,7503.39982,1,1,17,38,7,2,4,17,17,13,17,2,4,1
43256,7500.2733,7551.40168,1,6,45,46,17,1,1,22,42,14,23,1,1,2
43257,7615.7221,7574.37734,1,2,14,65,23,4,3,24,31,16,14,5,6,0
43258,7655.6133,7599.23496,0,2,3,26,2,0,0,9,21,4,6,3,1,2
43259,7676.2717,7623.32828,3,1,5,52,7,7,10,25,52,18,24,1,3,4
43260,7620.1533,7629.55328,2,2,8,34,6,1,3,19,28,6,11,3,5,2
43261,7564.4083,7613.60674,8,5,35,66,11,6,3,21,60,14,29,4,4,5
43262,6776.8883,7626.43374,3,5,40,81,11,10,6,25,69,14,31,3,3,2
43263,6875.6783,7458.66698,4,7,57,122,33,4,3,77,85,40,42,10,11,7
43264,6535.0817,7302.67998,2,5,12,82,17,7,4,80,78,29,34,6,12,2
43265,6315.7,7074.44198,8,1,11,54,25,4,5,35,52,9,24,4,8,4
43266,6647.0133,6813.55132,5,1,2,54,11,8,14,39,48,33,23,5,12,6
43267,6434.088,6630.07232,0,3,5,33,8,1,1,16,39,6,14,14,1,2
43268,6509.4267,6561.51226,7,4,32,55,13,6,3,43,64,19,34,14,8,5
43269,6464.4117,6488.26194,4,2,7,66,10,5,2,32,36,9,22,2,4,2
43270,6713.488,6474.12794,6,6,2,68,10,7,5,45,63,22,25,8,8,8
43271,6737,6553.68554,2,6,16,49,6,3,7,25,41,11,16,10,3,1
43272,6714.7183,6571.68288,4,4,7,44,12,12,12,75,72,33,43,5,16,5
43273,6733.9017,6627.80894,4,3,2,31,22,1,5,24,38,8,22,5,4,2
43274,6332.5733,6672.70394,4,5,22,32,5,1,6,10,32,11,17,4,3,0
43275,6141.6058,6646.33626,1,1,35,55,13,9,2,40,51,23,33,1,6,7
43276,6037.0083,6531.95982,1,5,25,65,22,7,6,21,62,17,24,7,2,3
43277,6211.4475,6391.96148,2,5,1,24,10,0,1,21,29,12,16,3,2,3
43278,6218.595,6291.30732,3,1,27,32,14,2,1,22,29,14,23,1,6,2
43279,6105.295,6188.24598,6,3,42,37,10,3,0,18,30,16,21,5,4,3
43280,6107.8962,6142.79032,11,1,42,59,10,2,5,18,47,24,25,2,5,4
43281,5908.7025,6136.0484,3,6,5,30,10,3,2,27,35,13,16,3,9,14
43282,6381.3908,6110.38724,2,6,6,28,7,2,2,10,31,11,14,2,5,3
43283,6374.7542,6144.3759,4,6,1,34,4,3,7,26,23,5,17,2,4,1
43284,6466.0692,6175.60774,5,0,6,24,17,6,5,24,34,16,10,4,8,4
43285,6613.6858,6247.76258,4,6,3,24,13,3,5,25,31,12,21,3,4,1
43286,6593.2892,6348.9205,0,6,4,24,15,1,4,21,21,10,14,4,3,1
43287,6603.3767,6485.83784,6,10,6,29,17,6,4,23,31,12,20,7,5,2
43288,6569.4962,6530.23502,1,1,9,28,5,1,3,28,34,10,15,0,2,2
43289,6594.2817,6569.18342,5,5,20,104,10,9,4,50,99,41,37,7,13,9
43290,6753.5592,6594.82592,3,6,11,65,36,1,10,39,66,25,28,4,6,6
43291,6723.8725,6622.8006,0,7,8,27,16,1,6,23,26,14,18,0,5,5
43292,6510.7917,6648.91726,5,12,2,33,12,4,1,18,23,6,19,7,4,0
43293,6377.3633,6630.40026,2,5,3,36,10,2,2,33,38,15,11,0,4,3
43294,6233.595,6591.97368,1,4,0,27,19,2,4,33,52,16,11,0,3,2
43295,6244.3575,6519.83634,3,1,4,18,12,2,4,23,26,8,14,5,1,3
43296,6241,6417.996,5,1,2,15,5,2,4,6,18,6,6,0,4,3
43297,6316.8817,6321.4215,3,2,1,35,9,5,9,17,42,18,9,4,2,4
43298,6514.3908,6282.6395,2,1,3,45,14,1,2,26,29,16,24,5,8,1
43299,6869.9108,6310.045,2,3,6,62,10,3,7,30,48,10,26,2,3,2
43300,7398.6617,6437.30816,3,3,9,32,10,3,0,27,33,8,12,2,4,7
43301,7396.4017,6668.169,7,8,68,84,15,2,3,35,58,22,39,8,6,1
43302,7428.045,6899.24934,6,3,2,38,6,3,2,16,23,13,8,2,6,3
43303,7352.4954,7121.482,2,7,6,78,15,4,1,32,71,18,24,2,9,3
43304,7451.2892,7289.10292,3,3,9,23,14,1,1,14,13,11,16,3,1,3
43305,7689.8842,7405.3786,17,6,2,53,19,5,2,52,77,22,39,3,8,16
43306,8112.93,7463.6231,6,7,2,15,20,5,2,17,18,3,10,4,5,3
43307,8251.165,7606.92876,3,3,2,66,13,6,8,37,55,13,19,5,5,3
43308,8187.3242,7771.55276,3,5,2,33,11,7,0,9,25,8,18,2,2,0
43309,8025.2575,7938.51852,2,3,71,59,16,3,15,36,57,13,26,1,5,3
43310,8182.2517,8053.31218,2,1,5,20,5,2,1,20,21,6,21,1,4,1
43311,8206.3417,8151.78568,1,3,9,23,8,3,6,25,33,9,18,1,3,3
43312,8143.1483,8170.46802,3,2,4,49,21,7,3,38,49,21,21,4,5,5
43313,7916.8008,8148.86468,2,8,5,37,5,2,2,27,33,9,12,4,8,4
43314,7570.8692,8094.76,2,0,1,32,16,4,2,13,34,10,10,4,0,3
43315,7593.1492,8003.88234,5,3,3,43,7,3,4,17,40,16,25,1,1,6
43316,7394.4992,7886.06184,5,3,3,36,6,4,3,13,27,11,17,3,1,4
43317,7247.7692,7723.69334,0,0,2,11,1,3,2,12,17,10,15,1,2,3
43318,6998.7183,7544.61752,3,2,14,27,7,2,1,20,21,9,14,3,4,0
43319,6988.0792,7361.00102,3,4,72,74,15,6,4,21,52,18,30,2,4,1
