"Date","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10","Topic11","Topic12","Topic13","Topic14","Topic15","Topic16","Topic17","Topic18","Topic19","Topic20","Topic21","Topic22","Topic23","Topic24","Topic25","Topic26","Topic27","Topic28","Topic29","Topic30","Topic31","Topic32","Topic33","Topic34","Topic35","Topic36","Topic37","Topic38","Topic39","Topic40","Topic41","Topic42","Topic43","Topic44","Topic45","Topic46","Topic47","Topic48","Topic49","Topic50","Topic51","Topic52","Topic53","Topic54","Topic55","Topic56","Topic57","Topic58","Topic59","Topic60","Topic61","Topic62","Topic63","Topic64","Topic65","Topic66","Topic67","Topic68","Topic69","Topic70","Topic71","Topic72","Topic73","Topic74","Topic75","Topic76","Topic77","Topic78","Topic79","Topic80","Topic81","Topic82","Topic83","Topic84","Topic85","Topic86","Topic87","Topic88","Topic89","Topic90","Topic91","Topic92","Topic93","Topic94","Topic95","Topic96","Topic97","Topic98","Topic99","Topic100"
2017-10-30,14,1,4,4,1,4,7,2,1,1,2,2,13,0,2,6,6,3,1,4,0,2,2,0,2,3,3,2,12,1,5,0,1,2,3,15,4,2,0,2,17,5,3,5,3,2,10,2,0,3,5,3,1,1,0,2,5,9,4,1,4,4,0,4,14,9,3,4,0,3,5,2,0,2,15,0,4,12,6,8,1,20,2,4,13,3,8,3,2,4,1,1,1,9,6,4,5,3,11,4
2017-10-31,28,3,0,2,3,3,22,19,6,4,0,3,58,10,2,17,15,10,0,5,1,1,5,4,9,0,11,8,17,1,10,2,1,3,4,46,2,3,1,4,32,5,2,8,5,1,24,4,6,4,11,7,5,3,0,5,3,15,8,2,11,1,5,3,12,14,7,4,2,8,1,6,4,1,12,5,13,19,4,10,0,18,0,2,22,8,29,5,1,4,3,2,3,6,23,4,4,6,26,15
2017-11-01,14,0,3,1,1,0,14,9,2,1,1,1,27,8,1,12,6,2,3,5,3,4,2,2,1,3,1,3,11,0,1,1,2,3,1,19,1,3,4,4,19,2,3,5,1,1,18,3,5,2,6,1,4,3,1,1,4,6,6,1,9,1,2,6,14,13,0,2,4,2,2,5,1,3,12,1,2,14,6,12,2,19,3,1,12,3,24,3,3,0,4,0,3,2,15,1,2,3,17,7
2017-11-02,44,3,22,10,4,7,29,105,10,22,4,21,103,10,8,24,21,9,3,14,7,7,7,14,5,5,8,15,58,7,8,7,31,4,3,84,4,10,6,10,38,8,8,8,7,3,36,7,6,3,26,12,4,32,6,7,9,34,5,10,20,7,7,12,26,33,7,20,8,30,18,12,15,7,18,8,11,27,13,20,4,29,6,10,41,25,63,9,6,9,17,4,5,13,41,14,8,9,82,36
2017-11-03,38,9,1,7,5,8,38,78,4,26,5,6,81,3,5,18,19,14,3,7,1,4,4,2,6,3,2,6,34,13,17,14,9,8,8,76,10,7,8,10,31,7,6,6,11,4,47,10,12,12,10,14,2,8,5,3,7,21,8,5,31,8,9,10,33,33,3,12,6,12,8,4,3,1,32,7,11,29,8,33,6,25,6,7,38,10,32,8,8,8,8,5,4,18,45,9,7,11,63,35
2017-11-04,31,3,5,5,3,2,25,24,1,3,10,6,45,5,4,13,20,5,8,5,3,10,3,2,2,3,11,5,20,4,3,3,6,3,10,61,2,3,3,5,21,3,7,3,4,9,31,4,5,3,21,1,4,5,6,4,4,9,7,7,20,3,7,4,26,23,2,5,5,6,10,7,9,2,18,7,8,27,5,28,7,21,6,19,28,8,32,6,6,4,9,3,4,22,27,6,8,4,30,15
2017-11-05,40,3,3,4,2,2,10,13,4,1,3,3,36,3,5,10,3,2,4,1,3,7,2,3,4,1,2,5,14,4,6,3,4,4,3,16,1,3,6,3,15,5,3,2,4,2,6,1,0,3,1,4,3,5,2,2,2,3,4,2,5,1,0,5,1,8,2,3,3,6,7,3,2,2,16,2,1,11,7,4,2,14,2,0,10,4,19,2,3,6,0,1,1,5,17,4,2,4,13,7
2017-11-06,29,5,8,0,6,4,9,11,2,6,1,7,46,5,5,11,9,4,4,2,3,5,7,9,5,4,3,3,32,4,2,4,1,2,1,39,6,7,4,1,5,2,2,2,2,1,14,7,4,5,40,5,4,2,4,1,5,8,6,4,10,3,4,3,13,15,3,4,4,2,0,2,5,7,14,5,2,8,9,10,3,15,4,3,15,4,25,5,4,2,6,3,1,12,22,6,2,23,28,8
2017-11-07,13,6,4,10,2,10,17,13,1,7,4,4,43,4,3,15,9,2,2,3,2,5,19,4,5,3,2,6,24,6,5,7,5,3,5,39,3,4,4,4,12,1,7,5,6,9,28,6,2,8,11,5,5,4,0,3,2,11,8,1,17,1,1,8,12,24,2,7,7,7,4,3,1,3,22,5,2,16,11,6,2,18,5,4,14,15,14,3,2,4,2,4,4,8,27,4,5,2,29,9
2017-11-08,32,4,5,6,4,2,29,56,16,5,7,7,70,4,6,13,19,9,8,5,6,7,15,6,6,7,9,9,25,4,7,5,2,4,7,68,3,8,4,6,34,6,3,7,6,11,39,5,17,5,24,1,4,13,3,6,9,17,5,2,26,5,5,8,21,26,4,7,11,5,7,12,7,5,32,6,7,34,3,22,4,39,6,13,27,9,43,9,5,8,13,4,7,26,31,10,4,2,31,23
