"Date","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10"
2018-03-17,"79","86","64","45","86","79","126","111","68","103"
2018-03-18,"187","213","145","85","450","166","134","241","182","193"
2018-03-19,"95","107","64","56","171","97","50","78","101","74"
2018-03-20,"118","77","89","78","62","96","53","94","61","102"
2018-03-21,"69","75","80","53","103","89","37","71","82","66"
2018-03-22,"80","109","78","74","97","90","29","110","76","91"
2018-03-23,"82","86","112","61","158","81","48","74","69","106"
2018-03-24,"104","165","104","66","417","122","84","88","80","122"
2018-03-25,"53","99","73","37","268","96","45","101","81","90"
2018-03-26,"170","132","124","66","346","145","104","180","106","142"
2018-03-27,"153","124","117","91","175","160","114","159","144","138"
2018-03-28,"136","128","108","95","147","121","83","116","136","89"
2018-03-29,"181","154","105","69","286","105","104","129","142","127"
2018-03-30,"115","113","109","58","200","102","72","122","99","107"
2018-03-31,"197","173","98","87","409","147","86","141","155","161"
2018-04-01,"165","145","121","62","349","118","100","181","106","161"
2018-04-02,"104","116","128","92","297","128","132","120","90","116"
2018-04-03,"190","151","135","89","281","150","87","120","135","130"
2018-04-04,"81","69","59","44","77","53","25","74","66","50"
2018-04-05,"93","82","104","69","55","92","75","87","83","71"
2018-04-06,"57","41","62","31","33","56","39","66","51","47"
2018-04-07,"74","68","52","24","47","66","44","106","36","83"
2018-04-08,"90","86","46","43","49","86","65","127","89","95"
2018-04-09,"81","66","54","63","38","60","44","68","63","35"
2018-04-10,"101","98","71","69","136","91","58","103","79","82"
2018-04-11,"88","94","87","43","52","77","42","143","78","79"
2018-04-12,"65","74","66","45","47","71","35","111","55","76"
2018-04-13,"79","118","70","49","145","102","33","175","72","74"
2018-04-14,"74","93","66","45","202","76","42","98","84","86"
2018-04-15,"95","121","119","107","330","88","52","110","97","122"
2018-04-16,"65","71","81","55","182","61","53","69","62","73"
2018-04-17,"95","100","85","82","226","71","54","102","64","72"
2018-04-18,"88","61","52","57","165","58","51","68","92","86"
2018-04-19,"73","87","80","68","119","77","63","65","83","99"
2018-04-20,"32","42","59","29","17","36","25","66","52","35"
2018-04-21,"42","65","56","29","67","49","24","76","67","74"
2018-04-22,"55","80","68","41","94","47","37","68","58","41"
2018-04-23,"40","38","57","35","33","47","28","28","51","32"
2018-04-24,"66","96","85","43","191","94","71","117","82","106"
2018-04-25,"69","76","72","50","218","75","62","76","78","95"
2018-04-26,"83","87","97","35","207","78","55","58","76","77"
2018-04-27,"91","105","82","52","158","98","66","125","68","114"
2018-04-28,"63","91","75","50","179","48","32","67","52","92"
2018-04-29,"50","77","63","39","175","43","45","83","51","69"
2018-04-30,"58","55","47","51","40","57","27","46","47","50"
2018-05-01,"92","97","91","66","49","99","56","87","85","88"
2018-05-02,"77","165","119","76","282","145","64","133","111","130"
2018-05-03,"136","76","104","47","56","83","52","88","58","76"
2018-05-04,"67","97","113","82","170","100","80","119","98","82"
2018-05-05,"78","73","39","43","129","69","50","69","62","55"
2018-05-06,"92","135","109","69","303","97","68","106","109","128"
2018-05-07,"105","94","102","76","131","91","45","127","88","102"
2018-05-08,"170","208","186","124","147","178","121","217","197","162"
2018-05-09,"92","113","125","74","143","146","89","149","101","110"
2018-05-10,"74","89","74","56","203","79","65","74","69","74"
2018-05-11,"103","99","131","88","192","84","82","131","104","133"
2018-05-12,"55","47","50","38","48","48","39","80","39","56"
2018-05-13,"93","103","86","46","148","95","83","154","76","158"
2018-05-14,"196","207","164","187","1023","180","159","201","164","233"
2018-05-15,"114","103","91","90","201","92","85","133","94","85"
2018-05-16,"94","78","74","47","80","81","80","99","52","77"
2018-05-17,"42","43","52","37","71","36","38","49","53","42"
2018-05-18,"46","83","73","78","83","87","48","89","101","82"
2018-05-19,"26","38","36","25","19","42","24","32","34","42"
2018-05-20,"66","97","78","32","150","63","44","57","80","54"
2018-05-21,"43","55","64","30","71","46","34","33","59","29"
2018-05-22,"66","119","100","77","75","137","102","128","145","127"
2018-05-23,"68","115","134","74","98","137","85","112","178","106"
2018-05-24,"43","67","78","72","93","89","39","84","68","58"
2018-05-25,"60","103","74","64","129","89","56","128","117","100"
2018-05-26,"52","107","69","52","116","80","36","73","145","88"
2018-05-27,"68","88","69","45","70","84","85","70","64","61"
2018-05-28,"81","124","79","64","95","120","97","107","111","108"
2018-05-29,"80","105","106","59","247","88","73","100","110","98"
2018-05-30,"71","113","116","77","189","137","73","174","126","148"
2018-05-31,"62","62","57","37","79","69","32","67","107","54"
2018-06-01,"52","111","78","34","138","102","55","134","64","98"
2018-06-02,"46","71","40","49","148","73","45","49","71","62"
2018-06-03,"79","61","51","36","54","58","39","55","49","37"
2018-06-04,"39","57","51","36","78","66","46","61","65","60"
2018-06-05,"54","75","57","67","136","80","60","79","63","73"
2018-06-06,"42","83","86","76","65","69","73","61","96","74"
2018-06-07,"18","46","45","27","38","51","15","74","52","43"
2018-06-08,"90","90","106","64","67","85","72","135","75","92"
2018-06-09,"43","53","43","38","52","73","60","60","70","58"
2018-06-10,"82","106","87","41","132","74","65","97","104","100"
2018-06-11,"83","139","118","63","174","111","119","107","129","109"
2018-06-12,"141","215","172","135","234","242","113","256","163","229"
2018-06-13,"66","159","129","105","98","218","83","275","112","189"
2018-06-14,"85","114","75","88","96","133","82","74","117","89"
2018-06-15,"91","110","109","74","78","168","96","189","130","132"
2018-06-16,"38","83","54","37","59","70","30","68","47","87"
2018-06-17,"71","126","84","58","161","96","60","113","138","123"
2018-06-18,"62","89","70","61","68","108","91","87","96","69"
2018-06-19,"78","115","111","72","67","165","128","182","134","157"
2018-06-20,"87","93","113","44","97","98","84","91","113","90"
2018-06-21,"58","130","180","107","73","214","105","200","111","158"
2018-06-22,"39","70","61","82","46","82","47","139","68","67"
2018-06-23,"54","55","55","22","98","46","77","51","61","56"
2018-06-24,"79","110","75","54","127","100","107","167","94","130"
2018-06-25,"64","116","105","76","131","96","95","142","94","126"
2018-06-26,"50","73","76","56","30","66","41","75","46","82"
2018-06-27,"36","72","63","47","87","63","41","82","52","57"
2018-06-28,"43","66","56","58","121","59","57","102","62","54"
2018-06-29,"49","94","68","56","130","85","43","99","90","71"
2018-06-30,"60","84","87","50","66","94","119","120","76","85"
2018-07-01,"18","48","27","45","51","64","47","75","34","64"
2018-07-02,"46","73","64","38","34","74","80","78","74","54"
2018-07-03,"43","59","57","53","63","76","86","97","61","62"
2018-07-04,"66","67","94","50","57","84","49","143","88","119"
2018-07-05,"32","54","59","55","45","69","40","61","43","57"
2018-07-06,"56","88","96","78","62","116","55","131","60","112"
2018-07-07,"40","58","62","31","69","50","44","88","72","72"
2018-07-08,"87","158","127","83","135","171","90","440","108","266"
2018-07-09,"87","115","69","117","102","134","153","159","100","108"
2018-07-10,"31","68","42","64","59","72","56","102","50","56"
2018-07-11,"41","63","56","37","50","81","37","148","51","79"
2018-07-12,"49","72","96","52","54","84","50","146","114","90"
2018-07-13,"40","75","48","66","37","88","73","97","74","85"
2018-07-14,"60","60","58","39","37","64","53","90","47","74"
2018-07-15,"37","40","25","18","27","36","34","53","25","25"
2018-07-16,"57","101","58","47","47","116","98","97","71","59"
2018-07-17,"61","80","86","61","44","98","47","134","58","90"
2018-07-18,"63","94","59","76","71","85","158","167","60","78"
2018-07-19,"66","68","78","50","39","77","48","74","88","58"
2018-07-20,"76","116","71","87","215","90","75","168","67","107"
2018-07-21,"59","68","88","51","36","77","49","87","53","71"
2018-07-22,"74","133","75","70","106","118","63","120","135","136"
2018-07-23,"51","53","47","37","46","53","43","52","29","43"
2018-07-24,"88","147","138","66","73","155","105","324","157","159"
2018-07-25,"45","53","49","60","31","49","22","44","43","53"
2018-07-26,"72","122","110","59","54","123","59","146","155","113"
2018-07-27,"66","58","44","44","36","66","48","78","59","54"
2018-07-28,"54","103","108","59","210","100","56","107","148","93"
2018-07-29,"32","49","36","33","45","61","56","38","47","46"
2018-07-30,"34","53","53","52","64","50","55","77","43","66"
2018-07-31,"74","121","96","80","79","112","89","180","166","120"
2018-08-01,"76","75","48","38","44","77","51","99","115","62"
2018-08-02,"97","57","51","53","51","67","38","115","67","64"
2018-08-03,"85","80","105","62","53","81","60","97","101","88"
2018-08-04,"82","71","65","36","48","75","40","90","76","59"
2018-08-05,"68","44","27","28","22","54","24","83","43","51"
2018-08-06,"57","45","65","33","75","77","31","78","61","59"
2018-08-07,"83","124","70","54","171","86","69","113","95","97"
2018-08-08,"73","109","110","84","69","111","81","138","140","97"
2018-08-09,"43","57","39","46","37","90","65","77","64","61"
2018-08-10,"149","196","222","75","133","256","254","525","217","294"
2018-08-11,"92","104","97","42","66","139","108","244","90","132"
2018-08-12,"88","97","92","49","96","176","250","209","128","166"
2018-08-13,"165","195","166","78","117","257","131","329","172","240"
2018-08-14,"105","99","110","34","72","111","79","103","123","102"
2018-08-15,"115","119","84","58","170","120","95","136","122","112"
2018-08-16,"110","151","110","66","150","179","85","121","143","127"
2018-08-17,"93","117","103","68","105","111","123","183","127","134"
2018-08-18,"86","81","100","51","63","90","60","201","102","108"
2018-08-19,"82","95","100","102","82","83","68","142","79","105"
2018-08-20,"72","144","110","79","243","126","75","143","82","120"
2018-08-21,"69","78","104","53","55","97","59","120","86","93"
2018-08-22,"96","108","105","64","119","126","54","103","88","105"
2018-08-23,"105","139","119","65","216","140","61","249","98","214"
2018-08-24,"82","97","88","70","69","103","62","128","88","88"
2018-08-25,"47","123","114","73","97","154","63","330","101","171"
2018-08-26,"74","98","104","70","108","130","74","158","97","106"
2018-08-27,"83","95","110","60","78","179","76","186","111","140"
2018-08-28,"123","110","138","83","76","147","93","214","128","129"
2018-08-29,"75","110","119","83","62","103","68","172","81","107"
2018-08-30,"104","156","118","68","126","186","78","256","141","166"
2018-08-31,"136","175","163","108","203","199","117","405","144","283"
2018-09-01,"123","117","99","59","122","126","55","138","91","138"
2018-09-02,"69","130","98","62","190","114","67","178","90","110"
2018-09-03,"170","293","226","114","186","390","152","745","224","472"
2018-09-04,"128","131","134","83","103","174","84","284","129","217"
2018-09-05,"129","187","183","123","181","166","122","308","133","215"
2018-09-06,"151","150","172","84","246","157","110","207","121","186"
2018-09-07,"97","137","129","81","204","133","76","196","123","166"
2018-09-08,"81","116","98","76","131","135","171","402","89","224"
2018-09-09,"187","243","184","89","104","261","144","520","291","408"
2018-09-10,"90","93","111","86","78","131","68","226","105","140"
2018-09-11,"93","183","160","107","198","162","112","232","125","236"
2018-09-12,"169","208","159","117","133","235","137","351","196","298"
2018-09-13,"71","74","74","70","54","78","60","124","85","90"
2018-09-14,"146","77","61","58","199","98","57","109","73","89"
2018-09-15,"120","156","156","85","112","147","115","303","152","243"
2018-09-16,"80","119","104","72","84","154","75","250","124","148"
2018-09-17,"93","109","91","69","74","135","95","179","173","117"
2018-09-18,"122","198","185","114","233","239","98","412","162","292"
2018-09-19,"78","134","132","225","103","172","87","174","155","187"
2018-09-20,"87","89","107","42","54","92","56","86","87","77"
