Date,Value
2018-04-12,6926.266667
2018-04-13,7847.845
2018-04-14,7895.408333
2018-04-15,8036.511051
2018-04-16,8340.748333
2018-04-17,8043.803333
2018-04-18,7895.416926
2018-04-19,8164.937426
2018-04-20,8254.625
2018-04-21,8852.718333
2018-04-22,8807.205
2018-04-23,8838.548333
2018-04-24,8933.861667
2018-04-25,9555.542
2018-04-26,8995.506667
2018-04-27,9258.398333
2018-04-28,9010.32
2018-04-29,9326.173333
2018-04-30,9334.281667
2018-05-01,9259.57
2018-05-02,9075.136667
2018-05-03,9221.426
2018-05-04,9639.268333
2018-05-05,9710.73
2018-05-06,9803.306667
2018-05-07,9630.136277
2018-05-08,9345.69
2018-05-09,9228.608333
2018-05-10,9322.041667
2018-05-11,9101.483333
2018-05-12,8468.788
2018-05-13,8484.346667
2018-05-14,8727.651667
2018-05-15,8652.038333
2018-05-16,8511.458
2018-05-17,8340.703333
2018-05-18,8106.118333
2018-05-19,8240.055
2018-05-20,8223.288333
2018-05-21,8507.406667
2018-05-22,8385.556187
2018-05-23,8015.58
2018-05-24,7555.74
2018-05-25,7566.193333
2018-05-26,7445.238333
2018-05-27,7342.908333
2018-05-28,7361.831667
2018-05-29,7130.541667
2018-05-30,7459.876667
2018-05-31,7385.395
2018-06-01,7491.434
2018-06-02,7535.146667
2018-06-03,7645.146667
2018-06-04,7699.886
2018-06-05,7500.273333
2018-06-06,7615.722142
2018-06-07,7655.613333
2018-06-08,7676.271667
2018-06-09,7620.153333
2018-06-10,7564.408333
2018-06-11,6776.888333
2018-06-12,6875.678333
2018-06-13,6535.081667
2018-06-14,6315.7
2018-06-15,6647.013333
2018-06-16,6434.088
2018-06-17,6509.426667
2018-06-18,6464.411667
2018-06-19,6713.488
2018-06-20,6737
2018-06-21,6714.718333
2018-06-22,6733.901667
2018-06-23,6332.573333
2018-06-24,6141.605833
2018-06-25,6037.008333
2018-06-26,6211.4475
2018-06-27,6218.595
2018-06-28,6105.295
2018-06-29,6107.896154
2018-06-30,5908.7025
2018-07-01,6381.390833
2018-07-02,6374.754167
2018-07-03,6466.069167
2018-07-04,6613.685833
2018-07-05,6593.289167
2018-07-06,6603.376667
2018-07-07,6569.496154
2018-07-08,6594.281667
2018-07-09,6753.559167
2018-07-10,6723.8725
2018-07-11,6510.791667
2018-07-12,6377.363333
2018-07-13,6233.595
2018-07-14,6244.3575
2018-07-15,6241
2018-07-16,6316.881667
2018-07-17,6514.390833
2018-07-18,6869.910833
2018-07-19,7398.661667
2018-07-20,7396.401667
2018-07-21,7428.045
2018-07-22,7352.495385
2018-07-23,7451.289167
2018-07-24,7689.884167
2018-07-25,8112.93
2018-07-26,8251.165
2018-07-27,8187.324167
2018-07-28,8025.2575
2018-07-29,8182.251667
2018-07-30,8206.341667
2018-07-31,8143.148333
2018-08-01,7916.800833
2018-08-02,7570.869167
2018-08-03,7593.149167
2018-08-04,7394.499167
2018-08-05,7247.769167
2018-08-06,6998.718333
2018-08-07,6988.079167
2018-08-08,6993.513333
2018-08-09,6450.366923
2018-08-10,6396.7725
2018-08-11,6396.494667
2018-08-12,6195.653333
2018-08-13,6311.131667
2018-08-14,6347.07
2018-08-15,6050.9425
2018-08-16,6362.676923
2018-08-17,6342.629231
2018-08-18,6476.9
2018-08-19,6436.720833
2018-08-20,6404.063333
2018-08-21,6434.559167
2018-08-22,6401.246154
2018-08-23,6575.229167
2018-08-24,6434.881667
2018-08-25,6543.645714
2018-08-26,6719.429231
2018-08-27,6673.274167
2018-08-28,6719.266154
2018-08-29,7000.04
2018-08-30,7054.276429
2018-08-31,6932.6625
2018-09-01,6981.946154
2018-09-02,7100.946667
2018-09-03,7247.935385
2018-09-04,7260.949231
2018-09-05,7326.8525
2018-09-06,7113.069231
2018-09-07,6433.271667
2018-09-08,6444.804167
2018-09-09,6366.1075
2018-09-10,6286.425833
2018-09-11,6297.877692
2018-09-12,6296.320833
2018-09-13,6273.1375
2018-09-14,6450.179231
2018-09-15,6499.0625
2018-09-16,6518.655
2018-09-17,6480.644167
2018-09-18,6400.600833
2018-09-19,6296.631667
2018-09-20,6335.826667
2018-09-21,6418.562667
2018-09-22,6669.990833
2018-09-23,6709.3125
2018-09-24,6710.445
2018-09-25,6639.304167
2018-09-26,6412.459167
2018-09-27,6468.631667
2018-09-28,6535.476667
2018-09-29,6677.3425
2018-09-30,6550.474167
2018-10-01,6593.135
2018-10-02,6590.968333
2018-10-03,6562.641667
2018-10-04,6470.4025
2018-10-05,6563.628333
2018-10-06,6568.549167
2018-10-07,6581.486667
2018-10-08,6558.5375
2018-10-09,6618.567692
2018-10-10,6621.711667
2018-10-11,6563.009167
2018-10-12,6248.635833
2018-10-13,6260.530833
2018-10-14,6260.645833
2018-10-15,6299.399167
2018-10-16,6452.571667
2018-10-17,6596.618333
2018-10-18,6596.276154
2018-10-19,6568.040769
2018-10-20,6487.444167
2018-10-21,6488.825833
2018-10-22,6531.601667
2018-10-23,6498.485833
2018-10-24,6481.426
2018-10-25,6508.31
2018-10-26,6478.0825
2018-10-27,6473.753333
2018-10-28,6465.9175
2018-10-29,6448.221667
2018-10-30,6382.668333
2018-10-31,6309.452857
2018-11-01,6310.284167
2018-11-02,6342.280833
2018-11-03,6387.674167
2018-11-04,6363.795833
2018-11-05,6391.873333
2018-11-06,6436.965
2018-11-07,6445.354167
2018-11-08,6538.79
2018-11-09,6486.251667
2018-11-10,6411.280833
2018-11-11,6399.033333
2018-11-12,6378.268333
2018-11-13,6401.936667
2018-11-14,6372.063333
2018-11-15,6176.155
2018-11-16,5615.18
2018-11-17,5596.1925
2018-11-18,5558.243333
2018-11-19,5606.044167
2018-11-20,5303.9425
2018-11-21,4671.97
2018-11-22,4533.680833
2018-11-23,4548.7975
2018-11-24,4309.3375
2018-11-25,4293.840833
2018-11-26,3823.511667
2018-11-27,3920.536667
2018-11-28,3751.668333
2018-11-29,4103.453846
2018-11-30,4263.783333
2018-12-01,4106.871667
2018-12-02,4116.7775
2018-12-03,4167.546667
2018-12-04,3967.524167
2018-12-05,3961.493333
2018-12-06,3858.349167
2018-12-07,3742.943333
2018-12-08,3405.643333
2018-12-09,3435.34
2018-12-10,3528.803333
2018-12-11,3523.96
2018-12-12,3426.19
2018-12-13,3462.04
2018-12-14,3406.7625
2018-12-15,3278.374167
2018-12-16,3225.299167
2018-12-17,3271.238333
2018-12-18,3392.405
2018-12-19,3567.47
2018-12-20,3808.0425
2018-12-21,3982.850833
2018-12-22,4015.609167
2018-12-23,3910.973333
2018-12-24,4027.478333
2018-12-25,4178.590833
2018-12-26,3813.88
2018-12-27,3825.379167
2018-12-28,3747.839167
2018-12-29,3743.905
2018-12-30,3912.285833
2018-12-31,3832.921667
2019-01-01,3791.545833
2019-01-02,3752.271667
2019-01-03,3867.138333
2019-01-04,3865.7975
2019-01-05,3822.626667
2019-01-06,3868.4875
2019-01-07,3920.456667
2019-01-08,4036.093333
2019-01-09,4035.855
2019-01-10,4034.138333
2019-01-11,3812.585833
2019-01-12,3656.735833
2019-01-13,3646.345833
2019-01-14,3599.841667
2019-01-15,3604.1175
2019-01-16,3656.785
2019-01-17,3621.270833
2019-01-18,3619.964167
2019-01-19,3632.395
2019-01-20,3690.523333
2019-01-21,3620.1275
